,Upregulated,Downregulated
222,Ddx60,Srsf1
223,Phip,Tmem134
224,Esco1,Glyr1
225,Fam178a,Hnrnph3
226,Tsc22d2,Paip1
227,Pigg,Fgfr1
228,Tln2,Rnps1
229,Lrch3,Tmpo
230,Kdm3b,Clta
231,Mfsd7b,Gtf2i
232,Ccdc142,Ash2l
233,Rsf1,Znrf3
234,Tbc1d4,Lrp8
235,Mfhas1,Rbpj
236,9030418K01Rik,Ttc5
237,Ccdc88b,1500012F01Rik
238,Rprd2,Zc3h7b
239,Atf6,Adamts6
240,Taok3,Coq10a
241,Pik3r4,1110014N23Rik
242,Sipa1l2,Ptpn23
243,Stxbp5,Cep76
244,Rhobtb1,Cwf19l1
245,Nol8,Znhit6
246,Tbccd1,Zfp362
247,Dmxl1,Morn1
248,Mll3,Lmtk2
249,Csmd3,Arhgef17
250,Wdr67,Mki67
251,Bod1l,Zfp518b
252,Ankrd44,Fam171a1
253,Ino80d,Phf21b
254,Ppp2r5c,Sap30l
255,Zxdb,Pacs2
256,Tbc1d8b,Lama5
257,Ubr3,9430016H08Rik
258,Zfp800,Atp8b2
259,9430020K01Rik,BC057079
260,Trim21,Exosc7
261,Itgam,Eml5
262,Gbp7,B3galtl
263,Etv3,Irs2
264,Tns3,Ercc6
265,Liph,2410131K14Rik
266,Hiatl1,Fam65a
267,1600014C10Rik,Heatr2
268,Zfp467,Pgd
269,Smcr8,1700009P17Rik
270,Ppp1r3d,Clasp1
271,Zbtb34,Fat1
272,Gm13251,Taf2
273,Ogfod1,Map3k10
274,2410002O22Rik,Lphn2
275,Tmem176a,Tshz1
276,Myof,Ppp1r12b
277,Srp54c,Dnahc2
278,Msl2,Slc9a5
279,BC032203,Trrap
280,Arfgef1,Cenpf
281,Acbd5,Arhgap21
282,Cnnm2,Cep164
283,Steap2,Kidins220
284,Med7,Zfp777
285,Cdk12,Bcr
286,Atp7a,Dip2a
287,Cbfa2t3,Fbln2
288,Tmtc3,Furin
289,Cul4b,Plcd4
290,Mgat1,Sh2b1
291,Inpp5d,Gtf2ird1
292,Acvr1,Dgcr14
293,Gigyf2,Ccnd3
294,Ppm1h,Zfp664
295,Fyco1,Nfix
296,Tmem87a,Efr3b
297,Canx,Zfp266
298,Anxa7,Snrpn
299,Nfya,Sdr39u1
300,Runx1,Pja1
301,Cd33,Enah
302,Cd34,St7
303,Cd59a,Slc35a4
304,Comt,Mboat2
305,Lyn,Prr5l
306,Lipa,Plekhg2
307,Uba3,Rbck1
308,Lrrfip1,Zfp655
309,Ptprc,Dusp5
310,Abl1,2310030N02Rik
311,Slc8a1,Chmp6
312,Fxr1,Tmem8b
313,Mitf,Ccnyl1
314,Tbc1d14,Bhlhb9
315,Gls,Pik3c2b
316,Rnf13,Dnahc9
317,Ebf3,Tomm5
318,Thrb,Taf4b
319,Slain2,Rbm8a
320,Lair1,Add1
321,Frrs1,Alkbh1
322,Itga9,Nt5c3l
323,Irak2,Pcbp2
324,Ccpg1,Dtymk
325,Plcl1,Kif21a
326,Uspl1,Gas7
327,A630033H20Rik,Cnbp
328,Arhgap17,Dgcr2
329,Zcchc2,Dlg4
330,Pvrl4,Hnrnpm
331,Rhbdd1,Apold1
332,1110028C15Rik,D0H4S114
333,Casp8ap2,Col18a1
334,B3galt5,Eftud2
335,Pnp2,Tnk2
336,Naip2,Nxt1
337,Snx10,Yif1b
338,Atp13a3,Akt2
339,Cyld,Anxa6
340,Vps13d,Cbx5
341,Dock9,Ngfrap1
342,Gm2382,Acp1
343,Gspt1,Hmbs
344,Oxr1,Abhd14a
345,Phf17,Snx12
346,Sgce,Kif1a
347,Lpin1,Fiz1
348,Tcn2,Gprc5c
349,Nucb2,Gpatch4
350,Gpr160,Rbfox2
351,Apobec1,Dnpep
352,Fam116a,Crem
353,Lpgat1,Pigx
354,Dnaja3,Serpinh1
355,Ate1,Fkbp8
356,Hmox2,Atg16l2
357,Ikbkg,Stau2
358,Nfatc2,Sco2
359,Numb,Caprin1
360,Ptger4,Nedd9
361,Chdh,Cyth1
362,Gcnt1,Cyth2
363,Samhd1,Atp5c1
364,Nmi,Nfib
365,5730494N06Rik,Odf2
366,Rbm43,Sin3b
367,Lmo2,Gatad2a
368,Hmha1,Mocs2
369,Tcf7l2,Lrrc32
370,Nars,Amn1
371,Fam46c,Ctdsp2
372,H2-Q4,9-Sep
373,Ppfia4,Arhgef7
374,Spg20,4833420G17Rik
375,Zkscan3,Serbp1
376,Ctla2b,Stxbp1
377,Zfp790,Brd3
378,Itgb5,Pdlim7
379,Arhgef40,Smarcc2
380,Vwa5a,Tcf20
381,Slc37a2,Stox2
382,Parp4,4930506M07Rik
383,Gpr77,Slc16a10
384,Trim12c,Nedd4l
385,Fchsd2,Jmjd7
386,Wdfy4,Scfd2
387,Gfm2,Fnbp1l
388,Pik3cg,Suv420h2
389,Iigp1,Tssc4
390,Cables1,Ncaph2
391,Cln3,Dazap1
392,Chpt1,Suds3
393,Lgals9,Pde7a
394,Dip2b,Klhl26
395,Per1,Tnpo2
396,Irf1,Ubl7
397,Irf9,Fyn
398,Tnfsf13,Nab2
399,Fgd2,Nfia
400,Orc3,Aldh7a1
401,4632428N05Rik,Eif2b4
402,Eftud1,Inpp5a
403,Ly96,Dnajb6
404,Fbxl5,Drosha
405,Tor1aip1,Zfp207
406,Pum2,Arf1
407,A130010J15Rik,Hdac6
408,Fam46a,Hras1
409,Galnt1,Tpst1
410,Apobec3,Rpl35a
411,Rin3,Zkscan17
412,Nxt2,Kars
413,Tfeb,Megf11
414,Tap1,Cdv3
415,Ang,Ost4
416,Fmo5,AU019823
417,Myh11,Slc39a8
418,Ptk2b,BC024659
419,Chuk,Bscl2
420,Gab2,Ldha
421,Arrdc1,Eif2d
422,Sqrdl,Lsp1
423,Igsf10,P4ha2
424,Sesn1,Pitpnm1
425,Zfp934,Ssrp1
426,Dennd4a,Uba1
427,Mon2,Dnlz
428,Dnajc13,Nr4a2
429,Map3k15,Raly
430,Cog5,Ctnnbip1
431,Card6,Vipar
432,Etv1,Arpp19
433,AA987161,Cfb
434,Pxmp3,Ttll3
435,Cttnbp2nl,Atat1
436,Atp2a3,Fam188b
437,Rhot1,Slc6a8
438,Tatdn3,Moap1
439,Hspa5,AK010878
440,2700089E24Rik,Gm13889
441,Prorsd1,Use1
442,Tbck,Nucks1
443,Cyp2d22,Gpd2
444,Neurl1a,Specc1l
445,Atl3,Stk40
446,Itpripl1,Plcb1
447,Tmem175,Ralgds
448,5430427O19Rik,Slc25a44
449,Pou2f2,Zfp212
450,Fam102b,BC052040
451,Tmem170b,Btbd6
452,Parp10,Yeats2
453,Lrrcc1,Bace1
454,Plxdc1,Ndrg2
455,Nhsl2,R3hcc1
456,1810011H11Rik,Zfp444
457,Chn2,Hexdc
458,Pnpla2,Fam49a
459,Nlrx1,Homer3
460,Taok2,Slc11a2
461,Vav1,Rangap1
462,Ppp1r10,Mrps10
463,Ly6e,Dpy30
464,Stat5a,Pdgfrb
465,Tank,Emp3
466,Bcap29,Nap1l1
467,Add3,Smtn
468,Nfatc1,N6amt1
469,Mtm1,Ube2v2
470,Tmem176b,Eif4a1
471,Col4a3bp,Tnfaip1
472,Pwwp2a,Llgl1
473,Prpsap2,Guk1
474,Trpm7,Rab34
475,Erlin1,Rpl19
476,Ptpro,Ppm1b
477,Cnot4,H2afy
478,Kcnk13,Cox7a2l
479,Sipa1,H13
480,Rffl,Cd36
481,BC030336,Ephb4
482,Irf2bp2,Csnk1g2
483,Zfp809,Heph
484,Cyfip1,Prrc2b
485,9830001H06Rik,Rbm18
486,Dnaja1,Nadk
487,Zfp229,Prpf31
488,Pdcd6ip,2-Sep
489,Coro2a,Pvrl2
490,Ctage5,Dnajb2
491,Phc3,Hopx
492,Spopl,Zfand2b
493,Mgll,Kctd10
494,1-Mar,Ralgps2
495,Tnfaip3,Gnb1
496,Pls3,Dem1
497,Rasgrp3,Tmem9
498,3110052M02Rik,Fam168b
499,Dennd1b,Megf8
500,Sfmbt1,Sh3bp5l
501,8430408G22Rik,Ppp2r3a
502,Ccdc132,Slc3a2
503,Tcirg1,Cdkn1c
504,Fam45a,Ilk
505,Zfp764,Galnt6
506,Trmt2b,Lmo4
507,Arhgap39,Trim32
508,Cdk19,Gucy1b3
509,Phf14,Kdm4a
510,Mapk14,Mtx1
511,Sgms1,Fbxo44
512,Ctps2,Smarcb1
513,Lonp2,Myef2
514,Tifab,Dtnb
515,Tmcc3,Phyhipl
516,B3gnt2,Nsmce4a
517,Clec4a2,Rab11fip3
518,Mef2c,Spast
519,Krit1,Mdm1
520,Rnf144b,2410089E03Rik
521,Elmod2,Fam84b
522,Rcbtb2,Aen
523,Trim36,Pcx
524,Ahcyl2,Lrrc51
525,Prkd3,Phax
526,Hck,Eml2
527,Rbm41,Minos1
528,Taz,Tnik
529,Tfpi,Gprasp2
530,Ubr2,Haus8
531,Cpeb2,Eme2
532,Gm13476,Pcyt1a
533,1110001A16Rik,Hmg20b
534,Usp35,Lix1l
535,Gm14420,Fis1
536,Ccdc162,Lsm10
537,Sirpa,Med16
538,Homez,Zbtb5
539,Pfkfb3,Susd1
540,Tnfaip8,Pgap1
541,Clcc1,Get4
542,Snap23,Cdc42ep4
543,Frmd4a,Agpat1
544,Tirap,Snx11
545,Asph,Ppp2r3d
546,Rreb1,1810006K21Rik
547,Gpr155,Mttp
548,Camta2,Hectd2
549,Magt1,Rpl30
550,Gne,Pfkm
551,Dnajb11,Sema4a
552,Kat2b,Pgam5
553,Lims1,Plec
554,Nuak2,Exosc8
555,Pag1,Senp3
556,Gm4980,Satb1
557,Gm10345,Map3k12
558,5430411K18Rik,Osbpl3
559,Gm7694,Telo2
560,Itsn2,Rab6a
561,Sykb,Nosip
562,Golga5,Naaa
563,Lgals8,Rpap1
564,Ghitm,Bri3
565,Macf1,1190007F08Rik
566,Slc44a2,Klhdc3
567,Snx5,1110021J02Rik
568,Epb4.1l2,Spsb3
569,Gopc,6430548M08Rik
570,AI987944,Dom3z
571,4931406C07Rik,Orc6
572,Zfp839,Tbc1d24
573,Rapgef4,Smad5
574,Clec4a3,Polr3d
575,Gm4944,Tcf3
576,Arhgap27,Mcrs1
577,Tyk2,Pias2
578,Stat1,Cpsf1
579,Arap3,Lsr
580,Atg16l1,Nagk
581,Mavs,Mmp19
582,Slc4a10,Tsen34
583,9830147E19Rik,Romo1
584,Jmjd1c,Trim13
585,4933426M11Rik,Rpa1
586,Fam105a,Nrf1
587,Arntl,Rnf41
588,2010315B03Rik,Cuedc2
589,Itch,Efemp2
590,C87436,Atp13a2
591,Lcp1,Rab11fip2
592,Eef2k,Pqlc1
593,Zfp192,Ildr2
594,Ly6c1,Zfyve27
595,Acp2,Dap3
596,Adam10,Spats2l
597,Adrb1,Myo1h
598,Adrb2,Tsr2
599,Abcd1,Znf512b
600,Aldh3a2,Puf60
601,Amd2,Maf1
602,Birc3,Rnf14
603,Rhob,Mum1l1
604,Arhgdib,A730011L01Rik
605,Zfhx3,Ano8
606,Atf1,Tmem29
607,Atf3,Tomm6
608,Atp1b3,Fbxw2
609,Bcl2a1b,Grinl1a
610,Bid,Dcaf4
611,Bmpr2,Akt1
612,Zfp36l1,Ctnnb1
613,Birc6,Ckap5
614,Btg1,Gtf3c4
615,Btg2,Armc8
616,C1qa,Trmt112
617,C1qc,Armcx1
618,Calr,Rad52
619,Cap1,Armcx2
620,Capn3,Kif20a
621,Capza2,Rai14
622,Casp4,Arhgef25
623,Ccng2,Hnrnpf
624,Scarb2,Tbc1d25
625,Cd37,Slc25a14
626,Cd48,Vmac
627,Cd53,Hmga1-rs1
628,Cd9,Slc39a11
629,Cebpa,Eif5a
630,Socs3,Rbmx
631,Clk4,Spag7
632,Clock,Rhbdf2
633,Map3k8,Ift122
634,Cpox,Rbm10
635,Crat,Ankrd50
636,Csf2rb,Mbtps1
637,Csf2rb2,Gtf2e2
638,Csf3r,Zfp821
639,Ctsh,Atp2b4
640,Ddx5,G2e3
641,Reep5,Hook2
642,Slc26a2,Morf4l2
643,Egr1,Wwtr1
644,Elf1,Ube2m
645,Stx2,Tmem93
646,Pdia3,Dynll2
647,Etv6,Ttc23
648,Evi5,Men1
649,Ezh1,Plscr3
650,F5,Zfp574
651,F9,Zfp446
652,Acsl1,Tceal8
653,Fap,Gnl3l
654,Fech,Znrf1
655,Fgl2,Socs2
656,Fli1,Papd7
657,Fosb,Mlf2
658,Fzd4,Tmem229b
659,Fzd7,Btf3
660,Gdi2,Prkag2
661,Glul,Mthfd1l
662,Gpr65,Wibg
663,Cmklr1,Rnmt
664,Nr3c1,Hnrnpc
665,Grn,Mta3
666,Thumpd3,Yap1
667,H2-Oa,Bag1
668,H2-T24,Ttc4
669,Mr1,Cuedc1
670,Hcls1,Rnh1
671,Hhex,Traf7
672,Hlx,Aimp2
673,Hpgd,Dis3l2
