,Upregulated,Downregulated
983,Scn1b,Ntn1
984,Ccl12,Nxn
985,Ccl2,Oaz1
986,Clcn4-2,Pafah1b2
987,Ccl3,Pcmt1
988,Serpinf1,Pde6d
989,Sgk1,Cfp
990,St6galnac4,Pfkl
991,Skil,Pgk1
992,Slc16a7,Pik3r2
993,Slc22a5,Pim1
994,Slc7a7,Pip5k1c
995,Smarca2,Pip5k1a
996,Sptlc2,Pitpna
997,Stat5b,Prkaca
998,Stxbp3a,Pkia
999,Tal1,Plat
1000,Tap2,Plxna1
1001,Tbxas1,Plxna2
1002,Tgfb1,Plxna3
1003,Nr1d2,Pms2
1004,Timp2,Pola1
1005,Atp6v0a2,Pola2
1006,Tln1,Pold2
1007,Tbpl1,Por
1008,Tlr6,Ppic
1009,Tnfrsf17,Ppm1a
1010,Tnfrsf1a,Ppp3cb
1011,Tnfrsf1b,Prim1
1012,Tnfsf12,Prim2
1013,Nr2c1,Prkar2a
1014,Hsp90b1,Prkcsh
1015,Tyrobp,Map2k3
1016,Zrsr1,Prox1
1017,Usp12,Psma2
1018,Ucp2,Psmb4
1019,Utrn,Psmb6
1020,Vipr1,Psmc1
1021,Trpv2,Psmc3
1022,Fmnl3,Psmc5
1023,Xdh,Psmd4
1024,Xlr,Twf1
1025,Ercc5,Ptma
1026,Siae,Ptn
1027,Ywhah,Ptprg
1028,Zfp106,Ptprk
1029,Zfp148,Abcd4
1030,Zfp36,Pex5
1031,Zfp90,Rab11b
1032,Ikzf2,Rab24
1033,Slc30a4,Rab4a
1034,Klf6,Rab7
1035,Creg1,Rad21
1036,Dmtf1,Rad23a
1037,Ets2,Rad23b
1038,Fyb,Rbbp4
1039,Ggt5,Rbbp7
1040,Gpr34,Rbm4
1041,Lynx1,Rcn1
1042,Pacsin2,Reps1
1043,Twf2,Rfng
1044,Rngtt,Trim27
1045,Sgcb,Rfx2
1046,Slc35a1,Rgs5
1047,Spry1,Ring1
1048,Tlr2,Rit1
1049,Ubl3,Rpl22
1050,Xrn1,Rpl26
1051,Abcg2,Rpl29
1052,Dapp1,Polr1c
1053,Map3k2,Polr1d
1054,Map3k3,Polr2c
1055,Orc4,Rps15
1056,Plod3,Rps17
1057,Abcd2,Rps4x
1058,Cep110,Rps5
1059,Serinc3,Rps8
1060,Cul1,Rrm1
1061,Irf5,S100a10
1062,Anxa3,S100a9
1063,Btk,Sar1a
1064,Cd84,Scd2
1065,Cr1l,Cxcl2
1066,Elk3,Sec23a
1067,Ptpn6,Sepw1
1068,Hspa1l,Shfm1
1069,Hsph1,Siah1a
1070,Hspb1,St3gal4
1071,Lifr,Slc16a2
1072,Psmb9,Slc1a5
1073,Kitl,Smarcc1
1074,Slc11a1,Smpd2
1075,Pnp,Sms
1076,Sypl,Snrnp70
1077,Psmb10,Snrpb
1078,Ptger1,Snrpd1
1079,Dusp1,Snrpe
1080,Ccl4,Sox4
1081,Sema4d,Strbp
1082,Sp1,Sqle
1083,Sp100,Srm
1084,Irf4,Srp14
1085,Txnrd2,Srprb
1086,Azi2,Taf6
1087,Tceb3,Tarbp2
1088,Dok3,Tbca
1089,Nbn,Tcea2
1090,X99384,Vps72
1091,Dnajb9,Acat2
1092,Yme1l1,Ppp2r5d
1093,Pign,Tex9
1094,Abcc5,Tfdp1
1095,Mkln1,Tgfb1i1
1096,Nagpa,Tsc22d1
1097,Plk3,Tkt
1098,H2-M3,Pglyrp1
1099,Hk2,Top2b
1100,Xbp1,Tpi1
1101,Abca7,Traf4
1102,Bag3,Tob1
1103,Zfp385a,Tpt1
1104,Plcl2,Ctr9
1105,Ulk2,Rpl13a
1106,Zfp292,Psmd3
1107,Fbxw4,Ttc3
1108,Usp25,Tuba1c
1109,Slc33a1,Tubb2a
1110,Galnt4,Ube2e3
1111,Enpp2,Ube2e1
1112,Zeb2,Ube2l3
1113,Fgd3,Sumo1
1114,Ercc4,Usp10
1115,Lats2,Ulk1
1116,Hist1h1c,Umps
1117,Icosl,Urod
1118,Crim1,Uros
1119,Atp8a2,Usf1
1120,Rgs1,Vamp2
1121,Fbxl3,Vcl
1122,Reck,Ezr
1123,Smad3,Wee1
1124,Itgb3,Zmat3
1125,Bnip2,Xrcc1
1126,Stx7,Ywhae
1127,Dgka,Zbtb17
1128,Nxf1,Trim25
1129,Rab33b,Zic2
1130,Cd164,Actg1
1131,Spint1,Adsl
1132,Slc40a1,Aebp1
1133,Slc7a8,Ahnak
1134,Rfx5,Anp32a
1135,Polm,Anxa5
1136,Ccrl2,Ap2m1
1137,Akap8l,Ap3s1
1138,Gbp3,Ap3s2
1139,Igtp,Apbb1
1140,Golga4,Apex1
1141,Rassf5,Apoe
1142,Ctnnal1,Nr2f2
1143,Wbp4,Aprt
1144,Skap2,Arsa
1145,Crlf3,Atf4
1146,Egr3,Atp5f1
1147,St3gal6,Atp6v0c
1148,Extl3,Axin1
1149,Dnajb1,Bckdk
1150,Socs6,Bcl2l1
1151,Sgsh,Glb1
1152,Sh2b2,Bcl2l11
1153,Dclre1a,Bsg
1154,Gpr56,Bub3
1155,Pigb,Calm1
1156,Cd86,Capn2
1157,Irgm2,Capns1
1158,Unc93b1,Cat
1159,Hpgds,Casp3
1160,Apbb1ip,Cbfa2t2
1161,Sh3glb1,Ccna2
1162,Aif1,Ccnd2
1163,Ebag9,Ccrn4l
1164,Uso1,Cct4
1165,Plek,Cct6a
1166,Rhog,Cct8
1167,Ube2j1,Cd24a
1168,Plxnb3,Cd44
1169,Ubc,Cdh5
1170,Wsb1,Cdk4
1171,Socs5,Cdk5r1
1172,Pias1,Cdk7
1173,Elf4,Cdkn1b
1174,Srpk3,Ift81
1175,Arid3b,Cish
1176,Usp8,Cmas
1177,Asah1,Cxcr4
1178,B4galt6,Col4a1
1179,Nupr1,Col4a2
1180,Slc2a5,Copa
1181,Serinc1,Coq7
1182,Clip1,Cox4i1
1183,Akap8,Cplx2
1184,Tbk1,Dpysl2
1185,Dnajc7,Cry2
1186,Acp6,Cryz
1187,B4galt4,Csnk2b
1188,Pdlim5,Cyp1b1
1189,Sirt1,Dag1
1190,Ctsf,Eci1
1191,Akap10,Ddt
1192,Ranbp9,Dgat1
1193,Ccnl1,Dhfr
1194,Zfp111,Doc2a
1195,Pex3,Dpm1
1196,Stat2,Dpm2
1197,Sort1,Sparcl1
1198,Fam48a,S1pr3
1199,Mbnl1,Eef1a1
1200,Lat2,Efnb1
1201,Arhgap31,Efnb2
1202,Tob2,Rhbdf1
1203,Alas1,Ehd1
1204,As3mt,Eif1a
1205,Herpud2,Pou6f1
1206,Zc3h8,Emp1
1207,Srd5a3,Khdrbs3
1208,Tk2,Ext1
1209,Cxcl10,Ext2
1210,Ctss,Fcgrt
1211,Tlr4,Fdft1
1212,Cd200r1,Fem1a
1213,Sh3kbp1,Fem1b
1214,Sall1,Fgf13
1215,Hs1bp3,Fhit
1216,Rilpl1,Ctgf
1217,Slc35b4,Fkbp4
1218,Chst11,Flna
1219,Crbn,Fmo1
1220,Pmaip1,Fn1
1221,Mlxipl,Fpgs
1222,Mknk1,Ftl1
1223,Rnase4,Xrcc6
1224,Cysltr1,Gart
1225,Ngly1,Gdi1
1226,Chst12,Gja1
1227,Rnf130,Gna11
1228,Naip7,Gnai1
1229,Stard3,Gnai3
1230,Zfp191,Gnal
1231,Nek7,Gnpat
1232,Dctn5,Got2
1233,Chst7,Gpaa1
1234,Eed,S1pr2
1235,Qk,Gsr
1236,Tmod1,Grb10
1237,Il21r,Aes
1238,Cd274,Gstm1
1239,Foxj2,Gstm5
1240,Gtf2h2,Gsto1
1241,Fam129a,Gstz1
1242,B4galt1,Gusb
1243,Parvg,H2-Ke2
1244,Sdf2l1,Hdac3
1245,Herpud1,Hey1
1246,Itm2c,Hira
1247,Scamp2,H2afx
1248,Slc30a5,Hivep2
1249,Zfp110,Hmgb1
1250,Zfand6,Hsd17b7
1251,Pmepa1,Elavl1
1252,Asb2,Hyal2
1253,Cacnb2,Ica1
1254,Tor3a,Icam2
1255,Cxcl16,Id1
1256,Dusp12,Idh1
1257,Ppp1r7,Igf1r
1258,Slc30a7,Cyr61
1259,2010106G01Rik,Igfbp4
1260,Sbds,Igfbp5
1261,Pycard,Irs1
1262,Ubap1,Itga4
1263,Plekho1,Itga5
1264,Peli1,Eif6
1265,Samsn1,Itsn1
1266,Hist1h2bc,Jub
1267,Tmem86b,Kdr
1268,Rsc1a1,Khsrp
1269,Ptplb,Kif11
1270,Slc29a3,Kifap3
1271,Rab27a,Krt18
1272,Mccc1,Lama4
1273,Nipa2,Lamc1
1274,Crot,Ldlr
1275,Ehhadh,Lef1
1276,Uba7,Lig3
1277,Zfp84,Limk1
1278,Mphosph8,Lmnb1
1279,Etv5,Lmnb2
1280,Trim12a,Anxa1
1281,Jam2,Cd93
1282,Mtmr2,Mxd1
1283,Tsc22d4,Mad1l1
1284,Ern1,Mxd4
1285,Oxct1,Maff
1286,Chmp1b,Magoh
1287,Derl1,Mapkapk5
1288,Rexo2,Matr3
1289,Usp16,Maz
1290,Cyp27a1,Mea1
1291,Rrbp1,Mgat3
1292,Rmnd5a,Mllt4
1293,Tnfrsf23,Marcksl1
1294,Lap3,Mmp24
1295,Rab21,Psmd7
1296,Rap1b,Cd200
1297,Abhd12,Mpg
1298,Bhlhe41,Msh3
1299,Ublcp1,Sik1
1300,Gng10,Myo5a
1301,Slc31a2,Ndufs4
1302,Synj2bp,Nedd4
1303,Abhd6,Nf2
1304,Rmnd1,Nfatc2ip
1305,1110018J18Rik,Nfyb
1306,Acer3,Nid1
1307,Cd302,Rrp1
1308,Nemf,Cox4nb
1309,Camk2n1,Nras
1310,Ing5,Nsdhl
1311,Susd3,Ntan1
1312,Atp6v1c1,Oaz2-ps
1313,Iscu,Ogg1
1314,Ccdc82,Sqstm1
1315,Mterfd1,Rpsa
1316,Taf12,P4hb
1317,Acot11,Pcna
1318,Ntpcr,Cdk16
1319,3110001I22Rik,Pea15a
1320,Abi3,Per2
1321,Pigk,Pfdn2
1322,Col27a1,Pfn1
1323,Tmed7,Cdk14
1324,Tbc1d15,Piga
1325,Erlec1,Pkm2
1326,Etfdh,Plaur
1327,Fuca2,Pld3
1328,Ppp1r2,Pa2g4
1329,Tax1bp1,4-Sep
1330,1200014J11Rik,Polb
1331,Crnkl1,Cnot7
1332,Acadsb,Ppib
1333,Eif4e3,Ppp5c
1334,Naa16,Prkar2b
1335,Chordc1,Prnp
1336,Prpf38b,Procr
1337,Tmem206,Psmb1
1338,Oma1,Psmb5
1339,Fancl,Psmb7
1340,Dnajb4,Psme1
1341,Syap1,Psme3
1342,Lsm14a,Ptgfrn
1343,Dynlt3,Ptpn12
1344,Herc6,Ptprs
1345,Mis12,Rad9
1346,Tomm34,Pitpnm2
1347,Mtdh,Dpf2
1348,Ccdc47,Rev3l
1349,Dram2,Rgs16
1350,Cmtm6,Xpr1
1351,2810474O19Rik,Rnf4
1352,Herc4,Rpa2
1353,Zkscan6,Rpl6
1354,Ppil4,Rpl7
1355,Far1,Rpl9
1356,Mtpap,Polr2j
1357,Plxdc2,Sub1
1358,Ero1lb,Rps18
1359,1810074P20Rik,Rps24
1360,Agpat2,Rps6ka2
1361,Fgfr1op2,Ruvbl2
1362,Mfap1a,S100a6
1363,Slc25a30,Khdrbs1
1364,Gin1,Sars
1365,Tbc1d23,Sec22b
1366,Dusp6,Sema3f
1367,Samd8,Srsf2
1368,Slc25a37,Slc12a7
1369,Pnrc2,Slc2a1
1370,Atg3,Slc2a3
1371,Rab32,Slc7a5
1372,Rgs10,Slfn2
1373,Tmem100,Smn1
1374,Tmem86a,Sod1
1375,Rgs19,Sox7
1376,Zcchc10,Sox9
1377,Mphosph10,Serpinb6b
1378,6230427J02Rik,Spin1
1379,Cgnl1,Srebf1
1380,Leprotl1,Nhp2l1
1381,Fam111a,Stk16
1382,Mto1,Bhlhe40
1383,Rab14,Strap
1384,Lmbrd1,Eif1
1385,Tmem126b,Med22
1386,Slc46a1,Suv39h1
1387,Ndufaf4,Sdc3
1388,Uckl1,Sdc4
1389,Tmed10,Taldo1
1390,Ifi27l1,Skp1a
1391,Cgrrf1,Tcf12
1392,Ms4a6d,Zeb1
1393,Zfp644,Ubtf
1394,1190005F20Rik,Prdx2
1395,Ap1s2,Thoc4
1396,Cab39l,Cirh1a
1397,Cnot8,Thbs1
1398,Gsdmd,Tia1
1399,Sec62,Tie1
1400,Khnyn,Trim28
1401,Tnfaip8l2,Timm17b
1402,Ms4a6b,Timm44
1403,Ttc39b,Tle1
1404,Vrk2,Top2a
1405,Zfp715,Ppp1r13b
1406,2810422O20Rik,Tmem165
1407,Manba,Tpbg
1408,Mettl7a1,Tfrc
1409,Rpf1,Trip6
1410,Gcc2,Tsn
1411,Lman1,Tuba1a
1412,1700020O03Rik,Tuba1b
1413,Atp6ap2,Tubb5
1414,Bbx,Tuft1
1415,Rnf167,Tulp3
1416,Actr8,Txn1
1417,Tmem144,Ubb
1418,Kdsr,Ufd1l
1419,Cwf19l2,Uck1
1420,Cep192,Vars
1421,P2ry12,Vbp1
1422,Ttll7,Vdac1
1423,Usp15,Vegfb
1424,Oxsm,Lin7c
1425,Nipbl,Vim
1426,Otud1,Vtn
1427,Cpne3,Wbp5
1428,Ankrd40,Wdr1
1429,Alpk1,Wiz
1430,Grap,Dctn6
1431,Afmid,Ybx1
1432,Ifih1,Ywhaq
1433,Snx20,Zfp259
1434,Arhgef3,Zyx
1435,Slc46a3,Coro1c
1436,Cdc40,Akt3
1437,Tns1,Arih2
1438,Ppp1r12a,Capn10
1439,Ulk3,Car14
1440,Ankle2,Cfdp1
1441,Pdgfd,Farsb
1442,Ints12,Fbln5
1443,Rnf180,Fxr2
1444,Acsl5,Gmcl1
1445,Tmem106b,Pigq
1446,Paqr7,Hax1
1447,Tom1l1,Hs2st1
1448,Endod1,Impdh1
1449,Rnf135,Impdh2
1450,Cyb5r1,Map2k5
1451,Fundc1,Mapk7
1452,Zfp654,Mta2
1453,Slc39a4,Papss1
1454,Cnpy3,Pcbp1
1455,Tmem68,Eci2
1456,Ddb2,Med24
1457,Scaf11,Prkra
1458,Fbxl20,Psmc4
1459,Tbc1d5,Psmd13
1460,Tram1,Rnasel
1461,Cyth4,Mrps12
1462,Pinx1,Sh3bp5
1463,Lrpprc,Spry2
1464,Prcp,Mpdu1
1465,Tmem87b,Whsc2
1466,Tmem173,Ing1
1467,Naalad2,Angptl2
1468,Zufsp,Cd97
1469,Pan3,Clcn6
1470,Anks3,Fto
1471,Pus10,Mapkbp1
1472,Zfp518a,Lypla2
1473,Tmem135,Map2k6
1474,Pot1b,Mapk1
1475,Ccnt2,Nubp1
1476,Trip11,Nubp2
1477,Phospho2,Psma1
1478,1700049G17Rik,Psma4
1479,Klraq1,Psma5
1480,D3Ertd751e,Psma6
1481,Obfc2a,Psma7
1482,Rin2,Psmb2
1483,Nfam1,Psmb3
1484,Esyt2,Rpl27a
1485,Paqr5,Slc27a1
1486,Slc35a5,Ncdn
1487,Sash3,Slc27a4
1488,Scyl3,Slc7a11
1489,Dock8,Cops3
1490,Gbe1,Rcn2
1491,P2ry13,Cops6
1492,1700017B05Rik,Cops7a
1493,Ctbs,Med14
1494,Tmem110,Eif2s3x
1495,Dnajc14,Zfp346
1496,Snx19,Mprip
1497,Tmed5,Ecsit
1498,Lonrf3,Slc9a3r1
1499,Rptor,Rps3
1500,Dpp8,Rpl8
1501,Ppapdc2,Aoah
1502,D14Abb1e,Atp1b2
1503,Snx29,Gla
1504,Tmem33,Atp6v0d1
1505,8430406I07Rik,Bop1
1506,Tmem168,Cpe
1507,Pck2,Stom
1508,Elovl7,Gnb4
1509,Scrn3,Gpr162
1510,Spsb1,Leprel2
1511,Tmem188,Grcc10
1512,Pcf11,Emg1
1513,Pik3cb,H2-Ke6
1514,Tmx4,Il2rg
1515,Scamp1,Lrpap1
1516,Rnf19b,Mbd3
1517,Etnk1,Mt1
1518,Tti1,Odc1
1519,Pibf1,Pam
1520,Fpgt,Ppp1cc
1521,Akap13,S100a8
1522,Zbtb4,Sf3a2
1523,2310035C23Rik,Sema3c
1524,Gns,Sh3gl1
1525,Fam35a,Snap91
1526,Zdhhc20,Supt5h
1527,Gpr165,Tcf4
1528,0610040J01Rik,Tcp1
1529,Ndfip2,Usp5
1530,Txndc11,Ugt1a2
1531,Abcc3,Cops5
1532,Slamf9,G3bp1
1533,Prss23,Trappc3
1534,Msrb2,Rpl7a
1535,Stambpl1,Syn3
1536,Spcs3,Rps11
1537,Atxn3,Trp53bp1
1538,Mospd2,Pla2g7
1539,Slc10a7,Pdk4
1540,Sdccag8,Nufip1
1541,Polr3f,Tnfrsf12a
1542,Scfd1,Sepx1
1543,Arsk,Rps26
1544,Gpbp1l1,Prmt5
1545,A930001N09Rik,Slc25a10
1546,Rgs7bp,Ptdss2
1547,Ptgr2,Ip6k1
1548,Gabpb2,Sergef
1549,C330018D20Rik,Cdk2ap1
1550,Irak4,Epb4.1l3
1551,Ptprb,Sfrp1
1552,Pigh,Vps45
1553,Cryl1,Limd1
1554,Ccdc76,Tpk1
1555,Golgb1,Ndrg3
1556,Gpr108,Tnfrsf19
1557,Acap2,Pmm1
1558,Csgalnact2,Rnf11
1559,Mctp1,Clic4
1560,Hspa13,Timm13
1561,Sfi1,Timm8b
1562,Parp9,Timm10
1563,Lysmd3,Fkbp3
1564,Slc19a3,Fbxw5
1565,Cwc22,Fbxl6
1566,N4bp1,Zfp354c
1567,Nfkbiz,Abt1
1568,Trim34a,Acox1
1569,Slco1a4,Ddb1
1570,Igsf6,Hspa14
1571,Sacm1l,Isg15
1572,Lrba,Mapk6
1573,Niacr1,Lsm4
1574,Fcrls,Ppap2c
1575,Slamf6,Stra13
1576,Erap1,Cldn1
1577,Gpr84,Rab10
1578,Acox3,Keap1
1579,Tbl1xr1,Uba2
1580,Sgpp1,Hnrpdl
1581,Hspa8,Incenp
1582,Sf3b1,Nes
1583,Siglece,Coil
1584,Tgfa,Hmgn5
1585,Ctns,Nup50
1586,Trem2,Scly
1587,Plekha2,Galns
1588,Pik3ap1,Uchl3
1589,Gtf2a1,Stip1
1590,Prkab1,S100a11
1591,Ghdc,Cdc37
1592,Slmap,H2afz
1593,Copb1,Slc35b1
1594,Dock2,Lxn
1595,D17H6S53E,Hsd17b10
1596,Vps37a,Prdx4
1597,Cnnm4,Pbx3
1598,Peli2,Atp5b
1599,Ophn1,Dnajc5
1600,Atg5,Mybbp1a
1601,Clec2d,Nasp
1602,Trim11,Prkag1
1603,Slc24a3,Plrg1
1604,Myo1f,Ube2k
1605,Elac1,Txnl1
1606,Hsd17b11,Srpk1
1607,Gtf2ird2,Vti1b
1608,Tgs1,Stx1a
1609,Pip4k2c,Mtx2
1610,Ivns1abp,Hnrnpa2b1
1611,Elmo1,Atxn10
1612,Helb,Exoc7
1613,Hnmt,Bysl
1614,Tm9sf2,Actr1a
1615,Ssfa2,Eif3g
1616,Rnf216,Sart1
1617,Acss1,Dctn3
1618,Hps3,Ppp2r1a
1619,Bmp2k,Ccs
1620,Asb13,Ak2
1621,Tlr3,Esd
1622,Snx18,Galk1
1623,Adrbk1,Sec61a1
1624,Usp48,Porcn
1625,Cyp4f13,Blcap
1626,Rogdi,Nudt5
1627,Eps8l2,Fanca
1628,Il1rl2,Sart3
1629,Tlr7,Hmgn2
1630,Bco2,Rps3a
1631,Gcnt2,Phgdh
1632,Acbd3,Nfil3
1633,Cd209a,Ppp2cb
1634,Rbm39,Tef
1635,Tm9sf3,Clpp
1636,Slc12a6,Mrpl39
1637,Cd81,Atf6b
1638,Ier3,Zfp316
1639,Rp2h,Dnalc4
1640,Sult1a1,Copg2
1641,Smap2,Rp9
1642,Tmem30a,Rai12
1643,2610018G03Rik,Bet1l
1644,Insig2,Agpat6
1645,Errfi1,Sema6a
1646,Efr3a,Eif3d
1647,Icmt,Ywhab
1648,Pla2g15,Nme6
1649,Uap1,Gipc1
1650,Stk17b,Prpf40b
1651,Ehd4,Foxo4
1652,Usp53,Eef1b2
1653,Olfml3,Ubqln2
1654,Cept1,Eif3i
1655,Osbpl9,Syt11
1656,Smpdl3b,Mkrn1
1657,Slc15a4,Nup210
1658,N4bp2l1,Sertad1
1659,Papd4,Rplp1
1660,Rasa4,Ift20
1661,Nfxl1,Gas8
1662,Fbxl14,Pebp1
1663,Cyp4v3,Rpl41
1664,Trf,Slc1a4
1665,Cmtm7,Nop58
1666,Il13ra1,Ywhag
1667,Pnpo,Paxip1
1668,Ccdc117,Nprl2
1669,Smek2,Cyp39a1
1670,Slc16a6,Exosc9
1671,BC016423,Cyhr1
1672,Rbm26,Pabpn1
1673,Sft2d1,Rnf5
1674,Gpsm3,Pfn2
1675,Lpxn,Ppp2ca
1676,Slc25a45,Cd320
1677,AF251705,Gabbr1
1678,Havcr2,Stk19
1679,Rgs3,Ramp2
1680,Dst,Paf1
1681,Trpm2,Rcan1
1682,Bmf,Pqbp1
1683,Fam3c,Hes6
1684,Zcchc7,Panx1
1685,D6Wsu163e,Ppie
1686,Arhgap4,Rala
1687,Hps4,Olfm1
1688,Cds2,Mad2l1
1689,Tab2,Rabggta
1690,Edem1,Psmg1
1691,Ash1l,Rbm38
1692,Sdpr,Ptbp2
1693,Tmlhe,Tdp2
1694,Wdr81,Htra1
1695,Ripk2,Tspan5
1696,Vps54,Wwox
1697,Tnip2,Patz1
1698,Carf,Scamp4
1699,Gbgt1,Ccl24
1700,Fgd4,Becn1
1701,Mcfd2,Napb
1702,Mylk,Tspan7
1703,Fktn,Stmn1
1704,Sec14l2,Rpn2
1705,Zc3h11a,Rpl21
1706,Mudeng,Metap2
1707,Cdkal1,Gosr2
1708,Rab3il1,Ptpn9
1709,Trib1,Asna1
1710,Lgi4,Tspan6
1711,Tmem63a,Hsd17b12
1712,Depdc7,Ykt6
1713,Prdm9,Actl6a
1714,Cbx7,Ppp4c
1715,Tnrc6b,Ncs1
1716,BC017643,Dynll1
1717,Heatr1,Ruvbl1
1718,Zmym5,Cib2
1719,Mtmr6,Ddx39b
1720,Fam49b,Aldh18a1
1721,Zdhhc5,Rbms2
1722,Pet112l,Rbx1
1723,Slc35a3,Kcmf1
1724,Rod1,Arl3
1725,6330416G13Rik,Stub1
1726,Daglb,Apip
1727,Med17,Tusc2
1728,Csad,Pdcd5
1729,Rbm7,Sae1
1730,Lpcat3,Gabarap
1731,Tifa,Fzr1
1732,Mgl2,Mtch2
1733,Frmd4b,Amotl2
1734,Appl2,Arpc1a
1735,Tm6sf1,Tmed2
1736,Lpcat1,1110004F10Rik
1737,Lactb2,Rab9
1738,Tapbpl,Snd1
1739,Ythdf2,Vps29
1740,Casd1,Actr10
1741,Ube4a,Pldn
1742,Slc10a3,Kcnip3
1743,Mfap3,Maged1
1744,Arrb2,Dnaja2
1745,Cd300ld,Syncrip
1746,Ubxn2a,Ube2g2
1747,Mbip,Anapc7
1748,9030617O03Rik,Vapb
1749,Rasa1,Copz1
1750,Zswim6,Timm22
1751,Cerk,Arpc3
1752,Zfp160,Gsk3b
1753,Rhoq,Prmt1
1754,Sft2d2,Zmym3
1755,Spg11,B4galt5
1756,Edem2,Noa1
1757,Rap1a,Nudt3
1758,Krcc1,Rbm14
1759,Mob1a,Dnajb5
1760,Siglec5,Mtch1
1761,Zfp958,Uba52
1762,Zfp810,Ube2d2
1763,Narg2,Txn2
1764,Parp3,Mllt11
1765,Zfp71-rs1,Crtap
1766,Zfp709,Sumo3
1767,Pitpnc1,Pf4
1768,Nlrp3,Cript
1769,Tspan14,Clec4e
1770,AW549877,Ube2l6
1771,Zc3h7a,Sec11a
1772,Sumf1,Cnpy2
1773,Kbtbd2,Hacl1
1774,D15Ertd621e,Ick
1775,Cdc73,Mlst8
1776,Cep290,Aldh9a1
1777,Arhgap9,Alg2
1778,Flcn,Med8
1779,Evi2b,Cyp51
1780,Mgat2,Rfc2
1781,Lrrc33,Taf10
1782,Zadh2,Lpar2
1783,Tmem185b,Poll
1784,Hibch,Pigo
1785,Dclre1c,Dhodh
1786,A830007P12Rik,Med20
1787,Pbxip1,Trim44
1788,Golph3l,Tnfrsf10b
1789,Slc16a4,Dolpp1
1790,Tdrd7,Sap30bp
1791,Jak1,Srf
1792,Haus3,Slc25a20
1793,Tmem119,C1d
1794,Tubgcp5,Park7
1795,Lrrk1,Th1l
1796,Picalm,Terf2ip
1797,Zfp280d,Srsf4
1798,Actr2,Gabarapl1
1799,Pnpla7,Rps14
1800,Fam199x,Wdr46
1801,Vps39,Smarce1
1802,Abca9,Zbtb22
1803,Rps6ka3,Tyms
1804,Arhgef6,Grpel2
1805,Usp45,Ak3
1806,Sec63,Slc15a2
1807,Sirt7,Sec61a2
1808,Zfp472,Rnf25
1809,Fcrl1,Bin3
1810,St7l,Snrpa1
1811,Nupl2,Cdon
1812,Phospho1,Ptplad1
1813,Lysmd1,Drg2
1814,Traf3ip3,Rqcd1
1815,Wipf1,Ap4m1
1816,Slc36a1,Cobra1
1817,Ggnbp2,Slc43a3
1818,BC037034,Rnf8
1819,Gimap6,Shank3
1820,Fbxo7,Stx6
1821,Hbp1,1700123O20Rik
1822,Atp10d,Fibp
1823,Zbtb24,0610007P14Rik
1824,Eif2c3,Elp2
1825,Neurl3,Fzd3
1826,Wasf2,Prps1
1827,Dusp7,Akr1a1
1828,Pank2,Rbfox1
1829,Nckap1l,Rps6kb2
1830,Pilra,Arhgap23
1831,Tmem41b,Pole3
1832,Zcchc6,Maea
1833,Mboat1,Trappc2l
1834,Dennd1c,Anapc5
1835,Pms1,Thap11
1836,Nudt6,Mark3
1837,Gbp5,Rab2a
1838,Rps6ka5,Edf1
1839,Pcmtd2,Nampt
1840,Mylip,Rcl1
1841,4933403F05Rik,Psmd14
1842,Fermt3,Carm1
1843,Arhgap22,Smu1
1844,Dnttip2,Stk25
1845,Nupl1,Cope
1846,Cd300a,Wsb2
1847,Adap2,Nsa2
1848,Pdxk,Mettl9
1849,Nfkbid,Fam203a
1850,Twistnb,Mrps30
1851,Cep68,Midn
1852,Kdm1b,Agrn
1853,Phyhd1,Myg1
1854,Plcg2,Wbp11
1855,Dnajc16,Trappc4
1856,AI314180,Prkar1a
1857,Akr1b10,Tsg101
1858,Slc25a32,Qtrt1
1859,Ostm1,Dusp10
1860,Asxl2,Ube4b
1861,Dtx4,Sv2a
1862,Itih5,Eral1
1863,Tmc7,Gprc5b
1864,Mtrr,Rnf187
1865,Zfp719,Sirt2
1866,9030625A04Rik,Sirt3
1867,Diap2,Thop1
1868,Mfsd4,Nisch
1869,Fam126b,Suv39h2
1870,Tmem71,Polr1e
1871,Dstyk,Tsc1
1872,Hlf,Pes1
1873,Engase,Rpl23
1874,Lhfpl2,Nif3l1
1875,Wdr41,Arl6ip6
1876,Fcho2,Gfer
1877,6720456H20Rik,Pex19
1878,Clic5,Asb4
1879,Rbm27,Clstn1
1880,Pggt1b,Twsg1
1881,Mppe1,Mcam
1882,D18Ertd653e,Dab2
1883,Mapk4,Eno1
1884,AI848100,Rab8a
1885,F11r,Rce1
1886,Pdk1,Rps19
1887,Agps,Map2k2
1888,Ganc,Glrx3
1889,4932438A13Rik,Nono
1890,Rsbn1,Cndp2
1891,Ddx58,Cwc15
1892,Galnt12,Ethe1
1893,4732418C07Rik,Fam89b
1894,Zmpste24,Mrpl4
1895,Fam63b,Grina
1896,Gbp9,Ndufb9
1897,Maob,Nit2
1898,Ddx26b,Dmap1
1899,Dock4,Pla2g12a
1900,Lmln,2310008H09Rik
1901,Lnpep,Ndufa7
1902,Malt1,Dctpp1
1903,Manea,Anp32e
1904,Fry,2500003M10Rik
1905,Parp12,Pgpep1
1906,C230081A13Rik,Ube2v1
1907,Snx14,Stoml2
1908,Ankrd57,Diablo
1909,Fbxl4,Eef1d
