,Genes,direction,valence
1213,,DOWN,-0.3926297342500332
1214,,UP,1.2281122823580173
1215,,UP,0.788034953495916
1216,,DOWN,-1.0379476568769184
1217,,DOWN,-1.0180717270375583
1218,,DOWN,-0.9479238224535043
1219,,DOWN,-1.0329246552488125
1220,,UP,0.678520997871171
1221,,UP,2.1144979039854146
1222,,UP,0.6100494351357532
1223,,UP,0.7486489277668449
1224,,UP,0.9895309832356226
1225,,DOWN,-0.9924112512275707
1226,,DOWN,-1.06829952266087
1227,,DOWN,-2.2695788062396898
1228,,UP,0.6807431390194288
1229,,UP,0.8085331169978893
1230,,UP,0.8256199138453757
1231,,UP,0.6751378637105642
1232,,UP,0.7591441382008262
1233,,UP,0.5998651467730165
1234,,UP,0.45862104114401786
1235,,UP,0.44769862680578015
1236,,UP,1.0003807653437997
1237,,DOWN,-0.29237625461739236
1238,,UP,1.7503296432412738
1239,,UP,1.2015275303129778
1240,,DOWN,-0.5689296628737778
1241,,DOWN,-1.0565087771264663
1242,,DOWN,-0.8121281068521524
1243,,UP,1.2689843254357187
1244,,DOWN,-2.1948699890470658
1245,,DOWN,-0.871800609620454
1246,,UP,0.867375205908759
1247,,UP,1.1682238112265781
1248,,UP,0.7316676855823859
1249,,UP,0.9201533693640354
1250,,DOWN,-0.856321077001264
1251,,DOWN,-0.7743180994197713
1252,,DOWN,-0.7767035189801141
1253,,DOWN,-0.5079593447344058
1254,,UP,0.4798407695202847
1255,,DOWN,-0.49442305239606865
1256,,UP,0.9607858935725578
1257,,DOWN,-0.5053965570925483
1258,,DOWN,-0.6596037548557354
1259,,UP,0.640062780550333
1260,,UP,0.5101585427110356
1261,,DOWN,-0.7448962291223212
1262,,UP,0.902313295634939
1263,,DOWN,-1.0207878923598064
1264,,DOWN,-2.2011602570166557
1265,,DOWN,-0.33347838579201844
1266,,DOWN,-0.5312239375733899
1267,,UP,1.5469534014370614
1268,,UP,1.3256572455714257
1269,,UP,1.3796009409010452
1270,,UP,0.9618696389631622
1271,,UP,0.8649717299121816
1272,,UP,0.6918126166451325
1273,,UP,0.5211813785501372
1274,,UP,0.9824224194780778
1275,,UP,1.5543649867230707
1276,,UP,0.7623489797840944
1277,,DOWN,-1.023175595538763
1278,,UP,1.0927264300785193
1279,,UP,0.8583551907558673
1280,,DOWN,-0.6020452528167464
1281,,DOWN,-1.148475775133067
1282,,DOWN,-0.5956410953254695
1283,,DOWN,-0.6238531117985721
1284,,DOWN,-1.3692815593825536
1285,,DOWN,-0.8290609434513174
1286,,DOWN,-0.4459069368639044
1287,,UP,0.6558595725111922
1288,,DOWN,-0.8050734190781328
1289,,DOWN,-0.43635615236837183
1290,,DOWN,-0.8918429292227558
1291,,DOWN,-0.7751004885525626
1292,,DOWN,-0.5701195177591504
1293,,UP,0.39323478610737667
1294,,UP,0.6992520684310778
1295,,UP,0.7306226160297089
1296,,DOWN,-0.7781915602383369
1297,,DOWN,-0.5821797329330962
1298,,DOWN,-0.4792683472261528
1299,,DOWN,-0.518654061257257
1300,,DOWN,-0.48099395038773757
1301,,UP,1.6955761962084788
1302,,DOWN,-0.850586366673355
1303,,UP,1.8133780678213327
1304,,UP,2.361295233126939
1305,,UP,1.5476345468660468
1306,,UP,1.7989721257559588
1307,,UP,0.9200022532964921
1308,,DOWN,-1.099085299362921
1309,,DOWN,-0.8902748972620166
1310,,DOWN,-0.6405801186860284
1311,,UP,1.3503421623638003
1312,,DOWN,-1.0162152152418136
1313,,UP,1.0315881946551495
1314,,UP,0.46786879919387264
1315,,UP,0.8023394253594145
1316,,UP,1.469117055891042
1317,,UP,2.025024841847651
1318,,UP,1.8225944846907907
1319,,UP,1.1597675795530118
1320,,UP,0.4481479053690375
1321,,UP,0.699656025059075
1322,,UP,1.1725298150091412
1323,,DOWN,-0.6012316535337309
1324,,DOWN,-0.6814392191854599
1325,,UP,0.7395539859861842
1326,,DOWN,-0.2202386718352811
1327,,DOWN,-0.49667265066999583
1328,,UP,0.7193721404085498
1329,,UP,0.9156951015874952
1330,,DOWN,-0.5505968527403728
1331,,DOWN,-1.0645239023330597
1332,,DOWN,-1.04039376529091
1333,,DOWN,-1.099461615531542
1334,,DOWN,-1.179314948807873
1335,,UP,0.5035122891395185
1336,,DOWN,-0.6211508146514598
1337,,DOWN,-0.24766356462061118
1338,,UP,2.1645111560777925
1339,,DOWN,-0.9214528147794487
1340,,UP,3.3698010229545714
1341,,UP,1.2482978538185996
1342,,DOWN,-1.4646661955986133
1343,,DOWN,-1.4209010586822373
1344,,DOWN,-1.3386918128392453
1345,,DOWN,-0.7687490654870629
1346,,DOWN,-1.2033310043762304
1347,,DOWN,-1.0098204401170616
1348,,UP,1.1229605864582966
1349,,UP,1.0390442321869628
1350,,DOWN,-0.7364398015131952
1351,,UP,0.617581004345144
1352,,UP,0.6919044631555423
1353,,UP,0.5962886617408809
1354,,UP,0.7301220854520725
1355,,UP,0.759447587607938
1356,,UP,0.8477841121248292
1357,,UP,0.6992026428536117
1358,,UP,0.587917698424902
1359,,UP,0.5415035648106815
1360,,UP,0.798771752081775
1361,,DOWN,-0.8842681477519212
1362,,UP,0.6219692925421216
1363,,UP,0.46724785174046707
1364,,DOWN,-0.6563078564700323
1365,,UP,0.6058760554004708
1366,,DOWN,-0.5108641336587616
1367,,UP,0.5472719348721508
1368,,UP,1.8352811502341253
1369,,DOWN,-0.7193108548152788
1370,,DOWN,-1.3205523887746289
1371,,DOWN,-0.47643170364411236
1372,,DOWN,-0.37635124125531566
1373,,UP,0.6608759515433535
1374,,DOWN,-0.3657749511796714
1375,,UP,0.666269412065465
1376,,DOWN,-0.8078302221450477
1377,,DOWN,-0.834207812378807
1378,,DOWN,-0.7151379648716895
1379,,UP,1.341974659639032
1380,,DOWN,-1.4740207946390733
1381,,DOWN,-1.4339476732392633
1382,,UP,0.6595490742104257
1383,,UP,0.6107424102649651
1384,,DOWN,-0.8286190291423926
1385,,DOWN,-0.9897350025985887
1386,,DOWN,-0.861562274517582
1387,,DOWN,-0.7243867359937755
1388,,DOWN,-0.8017902875342864
1389,,DOWN,-0.4608160386724564
1390,,DOWN,-0.5455973099816455
1391,,DOWN,-0.44118692876140553
1392,,UP,2.970770833149833
1393,,DOWN,-0.4674991256554617
1394,,UP,1.5917767218169234
1395,,UP,1.3971499071497888
1396,,UP,1.8551792119224424
1397,,DOWN,-0.7652787182009747
1398,,DOWN,-0.5068533040798741
1399,,DOWN,-1.1262218611508321
1400,,DOWN,-0.5066417247532992
1401,,DOWN,-0.405302535274996
1402,,DOWN,-0.5093811114878454
1403,,UP,0.4583121658218971
1404,,DOWN,-0.7491745982166984
1405,,DOWN,-1.2709252943835945
1406,,DOWN,-0.9581838051214852
1407,,DOWN,-0.6186260356689712
1408,,DOWN,-0.4682633376452483
1409,,DOWN,-1.020416773443735
1410,,DOWN,-1.1644647297591957
1411,,DOWN,-1.2644621882022962
1412,,DOWN,-0.7698196109280361
1413,,DOWN,-0.6993671571673837
1414,,DOWN,-0.8531518711351121
1415,,DOWN,-0.4574288342962257
1416,,UP,0.7856987314069036
1417,,DOWN,-1.7820841890047283
1418,,UP,1.3715128886391033
1419,,UP,1.7209224195824508
1420,,DOWN,-0.6554086155978354
1421,,DOWN,-0.38470027282199326
1422,,DOWN,-0.8069955987912308
1423,,DOWN,-0.742198755650551
1424,,DOWN,-0.84367656777894
1425,,DOWN,-0.42819772422014474
1426,,DOWN,-0.7302295311965135
1427,,DOWN,-0.5264932814184993
1428,,DOWN,-1.0226887229118686
1429,,DOWN,-0.6858915140036499
1430,,DOWN,-1.0286665550513538
1431,,DOWN,-0.8855521728207061
1432,,UP,1.2393148458393333
1433,,UP,1.0368463086010056
1434,,DOWN,-0.8997838314467025
1435,,UP,1.0636037916984962
1436,,UP,1.050177590853615
1437,,DOWN,-2.060891699682559
1438,,UP,0.5994562767805809
1439,,UP,0.6934233729834403
1440,,UP,1.5216178703645389
1441,,DOWN,-0.6706773079352364
1442,,DOWN,-0.8316834194358118
1443,,DOWN,-0.30556016788478113
1444,,UP,1.1656775945768616
1445,,UP,0.7102166756890413
1446,,UP,0.7580998480184145
1447,,UP,0.9383150083455107
1448,,DOWN,-0.7294850835978821
1449,,UP,0.42249512485703383
1450,,UP,0.47449046183669746
1451,,UP,0.41862494137234135
1452,,UP,0.4739569549621918
1453,,UP,0.8595847156943174
1454,,UP,2.6281510586901975
1455,,DOWN,-0.7881672489637562
1456,,DOWN,-1.3272597173099925
1457,,DOWN,-0.8313736699101918
1458,,DOWN,-1.2439588968984263
1459,,DOWN,-0.6064788697705783
1460,,DOWN,-0.98328528595956
1461,,DOWN,-0.9205421916108211
1462,,DOWN,-0.7106125721836873
1463,,DOWN,-0.9039423649916417
1464,,DOWN,-0.8778041392830799
1465,,UP,0.4731598429476259
1466,,DOWN,-0.6794856887622227
1467,,DOWN,-0.5487269346636005
1468,,UP,2.295432006937423
1469,,UP,0.6971494321042602
1470,,UP,1.7761359353315793
1471,,DOWN,-0.8505959997769386
1472,,DOWN,-0.4960353047874455
1473,,DOWN,-0.781482922769918
1474,,DOWN,-1.4376732973843798
1475,,UP,0.8733876954725983
1476,,UP,0.823216623756592
1477,,DOWN,-0.48739893651364713
1478,,DOWN,-0.8021054620562837
1479,,DOWN,-0.65887998478523
1480,,DOWN,-1.7111320286481873
1481,,UP,1.0336986007381497
1482,,DOWN,-0.9660061508413663
