gene,direction,valence
Sall1,UP,3.7825815489873706
Steap2,UP,3.779745587204709
Alox5ap,UP,3.778049108030489
Abcb4,UP,3.7769553165205085
Rab39,UP,3.7686444632855385
Tcf23,UP,3.7590547932804825
B230378P21Rik,UP,3.7562729720733534
Aif1,UP,3.751497412607846
Cept1,UP,3.7482548388778296
1810011H11Rik,UP,3.742884003354605
Ipcef1,UP,3.7418540383508923
Tcn2,UP,3.7343398244913093
Vrk2,UP,3.7319572235679894
Gpr77,UP,3.7307205697017873
Tlr13,UP,3.7293831223110296
Myo5c,UP,3.726042157733827
Tram1,UP,3.720683127116223
Klrk1,UP,3.7138713111426425
Cmtm6,UP,3.7116534492862114
Zfp36,UP,3.7025031245648927
Ces2e,UP,3.697082979577835
Bhlhe41,UP,3.6969326281911004
Slamf9,UP,3.6911299821396657
Dyrk4,UP,3.6897243332289027
Gm5458,UP,3.6824149632579
Tlr7,UP,3.6762521637778725
Pik3cg,UP,3.6747770424698643
Mafb,UP,3.6703153168713674
Il1b,UP,3.6612162237654347
Dock10,UP,3.657094106999856
Kcnj2,UP,3.6490537307420636
F5,UP,3.647619055233043
Clec5a,UP,3.645327050811839
Slfn8,UP,3.6412995547279268
Fcgr1,UP,3.6357958128480816
Cx3cr1,UP,3.632102253749939
Adap2,UP,3.618128745460028
Tgfbr1,UP,3.6128139863092033
Mir5107,UP,3.601732325356028
Igtp,UP,3.599804590485141
Calhm2,UP,3.597115949448577
Fam102b,UP,3.5885226876223353
G530011O06Rik,UP,3.5873858491636472
Skint3,UP,3.5795421199293407
Comp,UP,3.578556350500236
Hk2,UP,3.571602867742304
Fcgr2b,UP,3.5686908620304045
Aox1,UP,3.5656702403553573
Ccr3,UP,3.5616849689863543
Mertk,UP,3.561459452779225
F9,UP,3.560502153978794
Xlr,UP,3.554325123948418
Sash3,UP,3.553741987639769
Phyhd1,UP,3.5513871000671675
Fam71a,UP,3.550314668925295
2010015L04Rik,UP,3.5439268462986444
Nlrp1c-ps,UP,3.5338838042958867
Akr1b10,UP,3.532282406747112
Rnase4,UP,3.5274021374636657
Ly96,UP,3.5234386831324667
H2-DMa,UP,3.5229861359501844
Zfp839,UP,3.5224710746802907
Stk17b,UP,3.520108914074548
Hrh2,UP,3.507692673169226
1-Mar,UP,3.506347976222437
Klrb1c,UP,3.5039548396210254
Gm4980,UP,3.4934838285050405
Tnfrsf17,UP,3.4913350487550736
Fcgr3,UP,3.490703686148012
Ccdc152,UP,3.489427193640764
Chdh,UP,3.486552955412712
Mag,UP,3.479588228872523
F11r,UP,3.476372364127597
Samsn1,UP,3.4677320212830365
6330416G13Rik,UP,3.466810575324359
B3galt5,UP,3.4641312181253996
1700095B10Rik,UP,3.4608048310110453
Zfp456,UP,3.4556886629901302
5430416O09Rik,UP,3.4519971151946565
Mal,UP,3.4488210715265755
Col17a1,UP,3.448349184024207
Cyp4v3,UP,3.44617656194604
A830007P12Rik,UP,3.4450810673257277
Naalad2,UP,3.44433476556908
Sft2d2,UP,3.441714478814723
H2-T23,UP,3.438833726908762
Lpcat2,UP,3.433919039294732
Herpud1,UP,3.4337588872016176
Slc25a37,UP,3.43174806665876
Icosl,UP,3.4277512298624924
Cd74,UP,3.4259161059389958
Snx20,UP,3.422530608992585
Ly6c1,UP,3.422296604740798
Trim12a,UP,3.4189975189689257
H2-Ab1,UP,3.4115893050157604
Kcnd1,UP,3.4074457705825574
St3gal5,UP,3.4073326393756953
Cables1,UP,3.397353631959531
Havcr2,UP,3.3944841638451977
Csf3r,UP,3.389892103207272
Crlf3,UP,3.385274899763731
Fgf1,UP,3.3825758157222405
Kmo,UP,3.3822692428546177
Lefty1,UP,3.381444006779781
Gm3002,UP,3.370667980895869
Qprt,UP,3.3677581868991364
Chst7,UP,3.3557705846598527
Lat2,UP,3.3495577821445437
Ifngr1,UP,3.3493529185160726
B2m,UP,3.348597847796031
Edem2,UP,3.345511507053969
Gm12250,UP,3.3440613876018994
Pnp,UP,3.3411843660578415
Itgam,UP,3.33949913965941
Scn1b,UP,3.336067026318828
Sla,UP,3.335954059510313
Ppfia4,UP,3.334689574971415
Ch25h,UP,3.3346156317581728
Sytl2,UP,3.3343125132477027
Mrap2,UP,3.325943900714396
Col27a1,UP,3.3239477159071664
Cdh19,UP,3.321149986736587
Atf3,UP,3.320200236159551
BC147527,UP,3.3160527420866868
Tnfaip8l2,UP,3.315599200689497
Cd33,UP,3.312265701098259
Slc46a3,UP,3.309584233074228
Trim30d,UP,3.30745107084295
H2-Q8,UP,3.3063484340920146
Cd7,UP,3.3037167712573554
H2-K1,UP,3.299041268815181
Gng10,UP,3.2765169440617936
Stambpl1,UP,3.2762679937900887
Myadml2,UP,3.2749771007860504
Itm2b,UP,3.2739680554889468
Rnf135,UP,3.271528815636994
Jun,UP,3.2670301698196056
Gm12185,UP,3.263610843175697
Pag1,UP,3.25820693554932
Irf8,UP,3.254297319532503
Gtf2h2,UP,3.2489144250426065
Ptgs1,UP,3.2432990721046195
Tsc22d3,UP,3.242906652247511
Slco2b1,UP,3.242682146584757
Cd302,UP,3.2273397885403954
Abca9,UP,3.210950812407872
Rasal3,UP,3.2083544231976737
Egr1,UP,3.2019835109949244
Gm8817,UP,3.1896543528565764
Rgs2,UP,3.1872413498281387
Dusp1,UP,3.1856805678304387
Esr1,UP,3.1845668496716657
Scrn3,UP,3.179542032683292
Clcf1,UP,3.1729976996944935
Tnfaip3,UP,3.1691248458188963
N4bp2l1,UP,3.1677866781336848
Cnr2,UP,3.1659956601415096
Gbgt1,UP,3.1608829374728558
Tspan14,UP,3.160579761986043
Fam107a,UP,3.150846470149176
H2-M3,UP,3.150345269310583
Ctnna3,UP,3.1428423865249324
Trem2,UP,3.133984096557996
Ptprr,UP,3.131135292566188
Ier5,UP,3.128226896973966
Snord17,UP,3.123632137780794
Itgae,UP,3.1228830193719324
Igfn1,UP,3.119814592238079
C4b,UP,3.119744787059627
H2-DMb2,UP,3.1186732775000663
Rasgrf2,UP,3.118291875320561
Gm609,UP,3.1155131280941086
Il15,UP,3.11197834222613
Tns4,UP,3.1097241287101296
Myo18b,UP,3.1056641708231734
Rab3il1,UP,3.10500446872562
