gene,direction,valence
Herpud1,UP,3.4703421322691135
Rab3il1,UP,3.4640733549790044
Aox1,UP,3.4627822886424413
Hspb1,UP,3.4559370964074554
Kcnd1,UP,3.453511047365154
Susd3,UP,3.453155059429585
Map2k1,UP,3.4499430780863523
Abcc3,UP,3.446990465907014
Csf3r,UP,3.4434173757692124
Tnfaip8l2,UP,3.4306753158284353
Ppfia4,UP,3.4280914610532753
Dram2,UP,3.4234277433172373
Havcr2,UP,3.416430583229342
Xlr,UP,3.4156353075610517
Jun,UP,3.414213099906353
Lat2,UP,3.4139070849237023
B230378P21Rik,UP,3.4112788140092114
Ly96,UP,3.4056277130542134
2010015L04Rik,UP,3.4055194836950644
Mgat4a,UP,3.3997965427589496
Acer3,UP,3.392361272194644
Itgam,UP,3.3912621849002034
Clec4a3,UP,3.389612486380356
Rasal3,UP,3.374046620001085
Obfc2a,UP,3.3726003991640683
Col27a1,UP,3.3642776756764956
Mir5107,UP,3.3481053609570437
G530011O06Rik,UP,3.339237979351625
1810011H11Rik,UP,3.3371521588205493
Rhob,UP,3.333864541853598
Nfkbiz,UP,3.3308585852662804
Trim30d,UP,3.329311656726893
Cd84,UP,3.3203393494427442
Slc25a37,UP,3.317311123098539
B3galt5,UP,3.3146756911709168
Phyhd1,UP,3.3127398511185104
Egr1,UP,3.3062626054405504
Cyp27a1,UP,3.2881364715610277
Capza2,UP,3.28530442496181
Tap2,UP,3.283356671391714
Hps3,UP,3.280117886614227
Plxdc1,UP,3.2781563946267838
Pag1,UP,3.265475802646092
Naip2,UP,3.2627770644042817
Igtp,UP,3.255003551967071
Tnfrsf17,UP,3.25199944607522
Sgce,UP,3.2505052866394264
Hhex,UP,3.247430259061202
Slamf9,UP,3.245238562184659
Itgb2,UP,3.2426690665885376
Abca9,UP,3.2422894485805305
Fez2,UP,3.239852942942387
Tnfaip3,UP,3.2085627379805044
Il17ra,UP,3.2067324536771347
Card9,UP,3.205930523207068
Akr1b10,UP,3.1997156283845047
Zfp839,UP,3.1822558131302103
A530088E08Rik,UP,3.1499512345517284
Nfam1,UP,3.1488100425792815
Il1b,UP,3.142797077461017
Naalad2,UP,3.142530262926176
Tubgcp5,UP,3.1354972031000994
Chst7,UP,3.1351477796075873
Sqrdl,UP,3.135084905272823
H2-Ab1,UP,3.130012655823577
Sat1,UP,3.1275729159380394
Aif1,UP,3.117243627543944
Scn1b,UP,3.116712477456021
H2-K2,UP,3.1123771440764716
Cd164,UP,3.1111478379018314
N4bp2l1,UP,3.1077532751497725
Ankrd57,UP,3.1065887561297947
Ctsc,UP,3.106092353519327
Arhgap27,UP,3.1044190254926574
Gbgt1,UP,3.0839216248704484
Ncf2,UP,3.082115043174573
Mob3c,UP,3.082042036855569
Adrb1,UP,3.0746327819009536
Enpp4,UP,3.073993502688773
Arrb2,UP,3.0637512432221503
Zfp595,UP,3.060747407353162
Spint1,UP,3.057712338827757
Dock8,UP,3.0555188223033705
Tm6sf1,UP,3.0543740613200687
Fam107a,UP,3.045764295353835
Pik3r5,UP,3.0440164935121725
Rassf5,UP,3.0426503927352972
Tcn2,UP,3.0421483381950765
Naip5,UP,3.0410923102879783
H2-Oa,UP,3.0399102305143986
Nlrp1a,UP,3.0352145756728097
Nbeal2,UP,3.0328168479454907
Snx20,UP,3.028030593560984
Depdc7,UP,3.0277392265761187
Rtn4rl1,UP,3.026132184017097
Hck,UP,3.0235435816005554
Ly86,UP,3.020929764927404
Clic5,UP,3.0209130220254274
Entpd1,UP,3.0171341728414753
Tgfa,UP,3.0120243547568624
X99384,UP,3.007195556062668
BC017643,UP,3.005839152218698
Snx5,UP,3.0040928681806465
Pld1,UP,3.0022113476737133
Scoc,UP,2.996936246694247
Inpp5d,UP,2.9960674432472567
Xdh,UP,2.994184459653028
C1rl,UP,2.992766663060308
Zfp429,UP,2.991621076185462
Asap3,UP,2.9888267441162055
Liph,UP,2.9834721879193573
Slc37a2,UP,2.983422414369386
Tlr6,UP,2.970519523688877
Ssh2,UP,2.963502052169482
Cyp4v3,UP,2.962503476380965
Lyl1,UP,2.9515783843447227
H2-T23,UP,2.9514714108066
Unc93b1,UP,2.9405519519317833
Vipr1,UP,2.9391108731522753
P4ha1,UP,2.9364300305606146
Ly6c1,UP,2.93455540779057
Rcsd1,UP,2.927907391725693
Lpcat2,UP,2.927556016368324
Cbx7,UP,2.9266747235437625
Uba7,UP,2.921611572744036
Mavs,UP,2.918834878011993
Nptn,UP,2.9173802595704132
Slc7a7,UP,2.9109799015189566
Wdr44,UP,2.9077392726050975
Ppt1,UP,2.906416064934338
Lag3,UP,2.9059791865291427
Pros1,UP,2.903966059529153
Nek7,UP,2.9028203132195256
Plekha2,UP,2.901814275292283
Cfh,UP,2.899209940996168
Fgd2,UP,2.8903866419824644
BC013712,UP,2.8886098898772254
Dennd1c,UP,2.886922299377175
H2-M3,UP,2.885197717395899
Tmcc3,UP,2.884601264490275
P2rx7,UP,2.8814155204508745
Bmp2k,UP,2.8814087680580194
Pde3b,UP,2.8810954351953737
Cebpa,UP,2.877292784132639
Nckap1l,UP,2.8769946231662296
Rasgrp3,UP,2.8755340717891658
Prkcq,UP,2.8740810892440836
F11r,UP,2.8692313450730067
Dapp1,UP,2.8633890330289704
Plxdc2,UP,2.8630944056264154
Zfp715,UP,2.8630119312518914
Tlr4,UP,2.8594429330738866
BC037034,UP,2.8583272647022477
Aim2,UP,2.8571909219122578
Inpp4b,UP,2.856670674085411
Epb4.1l2,UP,2.854194817550111
Asah1,UP,2.851738549872926
Slc46a3,UP,2.8516605405389446
Tppp,UP,2.8515878882220593
Fos,UP,2.8497131645405953
Elac1,UP,2.8485533448226295
Arhgap5,UP,2.8479946983691
Ptk2b,UP,2.8460430426450065
Zfp658,UP,2.841765188216491
Golm1,UP,2.840951381544305
Tnfrsf14,UP,2.838896267419951
Rcbtb2,UP,2.836850713082839
Zfp36l2,UP,2.835406328810762
Tsc22d3,UP,2.8277000045088063
Hpgds,UP,2.8274026054682673
