,Upregulated,Downregulated
962,Plcg2,Arl8a
963,Phyhd1,Mrpl52
964,Kdm1b,Mtmr14
965,Dstyk,Ppil1
966,Tmem71,2310061C15Rik
967,Zfp277,Taf11
968,Engase,Mrps18c
969,Hlf,Phf5a
970,Papolg,Ict1
971,Fam126b,Ndufa8
972,Mfsd4,1110012L19Rik
973,Itih5,Mrpl53
974,Dtx4,Pmvk
975,Tmc7,Vps25
976,Diap2,Hbxip
977,9030625A04Rik,Mrps18a
978,Zfp719,2310036O22Rik
979,Mtrr,Mrpl13
980,Picalm,Mphosph6
981,Lrrk1,Fam96b
982,Tubgcp5,Nsmce2
983,Tspan33,Ncbp2
984,Actr2,Yif1a
985,Rassf9,Dalrd3
986,Tceal1,Plxnd1
987,Zfp280d,Ilf2
988,A830007P12Rik,Arpc5
989,Dclre1c,Prpsap1
990,Hibch,Tprgl
991,Tmem185b,1700021F05Rik
992,Zadh2,2610027L16Rik
993,Tmem119,Wdr83
994,Haus3,Pop5
995,Jak1,Nmral1
996,Tdrd7,Ppp2r2d
997,Slc16a4,Poldip2
998,Golph3l,2610029G23Rik
999,Pbxip1,Mrpl18
1000,Fam199x,Lsm3
1001,Pnpla7,Cuta
1002,Prex1,Tceb2
1003,Klhl18,Dctn4
1004,Ep300,Tm7sf3
1005,Rft1,Mxra7
1006,Fam179b,Iah1
1007,Kctd12,Nsmce1
1008,Ssh2,Polr2g
1009,Rtn4rl1,1810048J11Rik
1010,Fhod1,Msra
1011,Lrrc8a,2310003F16Rik
1012,Ppp1r3b,S100a16
1013,Fam185a,Dcakd
1014,Dennd2c,Cdc42ep3
1015,Med12l,Bphl
1016,Gmpr2,2810002N01Rik
1017,Slc9a9,Trap1
1018,Gpr157,Bambi
1019,Slc9a7,Coq5
1020,Rnf150,1110004E09Rik
1021,Cog3,Mrps11
1022,Cyp2r1,Rpl22l1
1023,Myo1d,Mrpl19
1024,Mia3,Psmd8
1025,Agphd1,3010026O09Rik
1026,Xpnpep3,Slc25a39
1027,Arl4c,Ddx56
1028,Camk1d,Nutf2
1029,Arl11,Mpnd
1030,Wwp1,2700060E02Rik
1031,Pak2,N6amt2
1032,Rint1,Sumf2
1033,Pik3r5,Cmc1
1034,Parp16,Pef1
1035,Zmym6,Ccdc80
1036,Ralgapb,Ppa1
1037,Ctso,Ufm1
1038,Crebl2,Dcxr
1039,Clec12a,Mri1
1040,Ythdc1,Mrrf
1041,2010015L04Rik,Enoph1
1042,Tmem69,Paip2
1043,D19Ertd386e,Fam32a
1044,Plcb2,Trabd
1045,Zfp595,Tubb6
1046,Psd4,Mki67ip
1047,Secisbp2l,Rps27l
1048,Tnfrsf14,Wdr55
1049,Afap1l1,Ubac2
1050,Pld4,Nt5dc2
1051,AI467606,Cdc16
1052,B230219D22Rik,Polr2i
1053,Zfp120,Fam162a
1054,Tanc2,Vps36
1055,Ube2q2,Mllt3
1056,Trim65,Sfxn1
1057,Ppip5k1,Znhit1
1058,Rasal3,5-Mar
1059,Nceh1,Meaf6
1060,Agmo,Lysmd2
1061,6030446N20Rik,Obfc2b
1062,Zscan29,Cd2bp2
1063,Garnl3,Mrpl12
1064,D2hgdh,Zfp511
1065,Son,Tm2d2
1066,Cnot6l,Gemin7
1067,Ppp1r9a,Smyd3
1068,Itpkc,Rnaseh2a
1069,Aftph,Tecr
1070,Me3,2010305A19Rik
1071,Tmem64,Zfp219
1072,Prune2,Snrpf
1073,C1rl,Eif1ad
1074,Pik3c3,Sugp1
1075,Tnfrsf21,Ecd
1076,Bbs9,Pak4
1077,Arap2,Gfod2
1078,Rcsd1,Nup205
1079,Rgmb,Wdr96
1080,4933433P14Rik,3200002M19Rik
1081,Commd8,Rufy3
1082,Pxk,5730437N04Rik
1083,Hist2h3c1,Btf3l4
1084,Dhx33,Hdac8
1085,Zfp438,Fuz
1086,Plscr4,Tecpr1
1087,Sik2,Glipr2
1088,Siglech,Wdr77
1089,Pigv,Cenpl
1090,Orai2,Rufy2
1091,Slc38a9,Hddc2
1092,Creb3l2,Lzic
1093,Uvrag,1810035L17Rik
1094,Rab3gap1,Snrpd2
1095,8030462N17Rik,Stoml1
1096,Pptc7,Manbal
1097,Ticam1,Polr2d
1098,Atg4a,Cryzl1
1099,Crybg3,Ptms
1100,Mgat4a,1810027O10Rik
1101,Atp2c1,Oxa1l
1102,Mmgt2,Rfc3
1103,Fnip1,Med27
1104,Suox,1500001M20Rik
1105,Tapt1,Eif1b
1106,Atg4c,Ngdn
1107,Tmem161b,Chmp2a
1108,Wdr44,1500011H22Rik
1109,Tatdn1,Aspscr1
1110,Txndc15,Pygo2
1111,Rnf139,Haghl
1112,Tmem65,Ssu72
1113,Leprot,Triap1
1114,1810030O07Rik,Ebna1bp2
1115,4930430F08Rik,Isca1
1116,Lpar6,Zdhhc3
1117,Ankrd57,1500032L24Rik
1118,Snx14,Kctd5
1119,C230081A13Rik,Klhdc2
1120,Pon3,2310004N24Rik
1121,Fbxl4,Esam
1122,Manea,Mrpl30
1123,Parp12,2310003L22Rik
1124,Fry,Ccdc115
1125,Letm2,Bap1
1126,Nbeal1,Pfdn5
1127,Rab8b,Dcps
1128,Amz1,Scnm1
1129,Ticam2,Fam116b
1130,Zfyve16,Bend5
1131,Vcpip1,Nob1
1132,Nrip1,Rpl15
1133,Klhdc7a,Ptpmt1
1134,Zbtb37,Sys1
1135,E330016A19Rik,Mrpl20
1136,Vps13a,Mgst3
1137,Pfkfb4,Cyc1
1138,Lpcat2,Magohb
1139,Leprel1,1810046J19Rik
1140,Trp53bp2,2410022L05Rik
1141,H6pd,2410004B18Rik
1142,Cds1,Rps21
1143,Fndc3b,Mrpl11
1144,D030016E14Rik,Rwdd1
1145,Ubash3b,Eid1
1146,Osbpl11,Cul7
1147,Fam76b,Asrgl1
1148,Ppcdc,Tab1
1149,Nt5dc1,Rnf181
1150,Zfp944,2400001E08Rik
1151,Lig4,Dda1
1152,Rapgef5,Prelid1
1153,Heatr5a,Mrpl51
1154,Rinl,Zmat2
1155,Vps13b,Fam136a
1156,Vps13c,Rpl36al
1157,Mysm1,Polr2e
1158,Atp2b3,Timm50
1159,Chd9,2310011J03Rik
1160,Ccdc66,Rtcd1
1161,Trappc8,Ergic3
1162,Apba1,Anapc16
1163,C130050O18Rik,Mrpl37
1164,A630001G21Rik,Ndufc1
1165,Tacc1,Psmd6
1166,Olfml2b,Tbcb
1167,Ano6,Aptx
1168,Mbnl2,Mcts2
1169,Mlh3,Asf1a
1170,Mlec,Nudt2
1171,Sp110,Slmo2
1172,Rnf169,2810004N23Rik
1173,Fam72a,Rbm4b
1174,Ankhd1,Uqcrfs1
1175,Fam53b,Trappc5
1176,Rapgef6,Pgm1
1177,2310014H01Rik,6330409N04Rik
1178,Spty2d1,Rnf220
1179,Slco2b1,Map1lc3a
1180,B630005N14Rik,4921524J17Rik
1181,Mob3c,Gtf3a
1182,Dock10,Farsa
1183,Tmem62,Cmpk1
1184,Lrrc39,Snrnp40
1185,Ppm1k,2610039C10Rik
1186,D730040F13Rik,Gdpd1
1187,Fam78a,Zwint
1188,Dido1,Cox6b1
1189,Ap4e1,Fam107b
1190,Wdfy2,Pomp
1191,Rttn,Nipsnap3b
1192,Zbtb38,Pspc1
1193,Rassf2,Rdm1
1194,Pion,Ctnnbl1
1195,Zfp710,Sike1
1196,Zfp770,Tsen15
1197,Galnt4,Ogfod2
1198,Foxj2,5730403B10Rik
1199,Nxt2,Tmem222
1200,Rin3,Ubr7
1201,Apobec3,Snrnp27
1202,Tfeb,Ormdl3
1203,Fmo5,Chchd3
1204,Ang,Gng11
1205,Tap1,Tctex1d2
1206,Pum2,Krtcap2
1207,Fam46a,0610009D07Rik
1208,Galnt1,Sdhc
1209,A130010J15Rik,Mrpl54
1210,Myh11,Ndufb5
1211,Sesn1,Atp5d
1212,Igsf10,Mrps7
1213,Zfp934,Lcmt1
1214,Dennd4a,Mrpl17
1215,Dguok,Txndc12
1216,Sqrdl,Akr7a5
1217,Arrdc1,Aurkaip1
1218,Gab2,Dnajc30
1219,Chuk,Rmnd5b
1220,Ptk2b,0610037P05Rik
1221,Irf9,Eif3f
1222,Irf1,Sharpin
1223,Per1,Btd
1224,Dip2b,Ttc28
1225,Fgd2,Rab5c
1226,Tnfsf13,Rab12
1227,Cln3,Cyp4f16
1228,Cables1,Grpel1
1229,Iigp1,Gm16515
1230,Pik3cg,Sra1
1231,Lgals9,Tbrg1
1232,Chpt1,Stmn2
1233,Ociad1,Hnrnpk
1234,Tor1aip1,Amz2
1235,Fbxl5,Sgta
1236,Lrrc57,Chchd1
1237,4632428N05Rik,Acy1
1238,Orc3,Ccdc28b
1239,Ly96,Mrps17
1240,Eftud1,Nicn1
1241,Taok2,Ssr2
1242,Nlrx1,Arfgap3
1243,Ly6e,Mrps16
1244,Tank,Eif1ax
1245,Stat5a,Sc4mol
1246,Ppp1r10,Thoc7
1247,Vav1,Mrps28
1248,Chn2,1810009A15Rik
1249,Pnpla2,Mrps22
1250,Bcap29,Tpd52l2
1251,Add3,Isoc1
1252,Erlin1,Haus2
1253,Trpm7,Tipin
1254,Ptpro,Pgls
1255,Cnot4,Chchd5
1256,Sipa1,Nip7
1257,Kcnk13,Pop4
1258,Mtm1,Ufc1
1259,Tmem176b,Tmem14c
1260,Nfatc1,Tmem57
1261,Prpsap2,Atp6v1f
1262,Pwwp2a,Eef1e1
1263,Col4a3bp,Fam33a
1264,1810011H11Rik,Wbscr22
1265,AA987161,Nudt14
1266,Nqo2,Ubl5
1267,Atp2a3,1110031I02Rik
1268,Cttnbp2nl,Nenf
1269,Pxmp3,Vta1
1270,Dnajc13,Commd4
1271,Mon2,1110049F12Rik
1272,Etv1,Lage3
1273,Card6,Uqcrc1
1274,Cog5,Arl4d
1275,Map3k15,Nop10
1276,Rhot1,Daam1
1277,Itpripl1,Snrpd3
1278,5430427O19Rik,Mrps24
1279,Tmem175,Gtf3c6
1280,Parp10,Wdr13
1281,Nhsl2,Erp29
1282,Plxdc1,Fundc2
1283,Lrrcc1,1110008F13Rik
1284,Tmem170b,Hmgn3
1285,Pou2f2,Med4
1286,Fam102b,Hat1
1287,Atl3,Eif2s1
1288,2700089E24Rik,Ikbkap
1289,Hspa5,Dhdds
1290,Tatdn3,Rrp15
1291,Prorsd1,Mrpl55
1292,Tbck,Armc10
1293,Neurl1a,Gatad1
1294,Cyp2d22,Lsm1
1295,Irak2,Glod4
1296,Itga9,Pfdn1
1297,Frrs1,Zcrb1
1298,Lair1,Nudcd2
1299,Ccpg1,Ctdnep1
1300,Slain2,Med29
1301,Mitf,Rabl5
1302,Fxr1,Wdr85
1303,Tbc1d14,Slc25a19
1304,Thrb,Myl12a
1305,Ebf3,2900010M23Rik
1306,Rnf13,Ndufb8
1307,Gls,Lass4
1308,1110028C15Rik,Zfp422
1309,Rhbdd1,Rpl39
1310,Pvrl4,2810453I06Rik
1311,Zcchc2,Cinp
1312,Eif4a2,Mrfap1
1313,B3galt5,Gstcd
1314,Cdc14b,Atg12
1315,Casp8ap2,Tmed9
1316,Plcl1,Mrpl49
1317,Arhgap17,Ube2r2
1318,A630033H20Rik,Akt1s1
1319,Uspl1,Necap1
1320,Slc8a1,Rps20
1321,Acvr1,Ergic1
1322,Inpp5d,Klhl13
1323,Mgat1,Map1lc3b
1324,Ppm1h,Xab2
1325,Cul4b,Ssr3
1326,Tmtc3,Poc5
1327,Cd72,Sf3a1
1328,Fyco1,Ahi1
1329,Kcnj13,Atic
1330,Cdk12,Calcoco1
1331,Cbfa2t3,Eepd1
1332,Atp7a,Ndufb7
1333,Uba3,Bzw2
1334,Lipa,Nudt16l1
1335,Abl1,Plin3
1336,Ptprc,Pccb
1337,Lrrfip1,1300014I06Rik
1338,Lyn,Wwp2
1339,Anxa7,Bzw1
1340,Canx,Sdhd
1341,Tmem87a,Cdca7
1342,Comt,Dsn1
1343,Cd59a,3110001D03Rik
1344,Cd34,Carhsp1
1345,Cd33,Slc25a23
1346,Nfya,Rbm22
1347,Runx1,Prkrip1
1348,Fam46c,Dtnbp1
1349,Nars,Bcs1l
1350,Tcf7l2,Lztr1
1351,H2-Q4,Mrpl33
1352,Spg20,Tmem223
1353,Ppfia4,Nacc1
1354,Rbm43,Mrps18b
1355,5730494N06Rik,Eef1g
1356,Nmi,Nrarp
1357,Mkks,Rpl14
1358,Samhd1,D16Ertd472e
1359,Lmo2,Cand2
1360,Hmha1,2810432L12Rik
1361,Parp4,Atp5e
1362,Slc37a2,Sft2d3
1363,Vwa5a,Nt5c3
1364,Arhgef40,Rnaseh2b
1365,Gpr77,Psmd9
1366,Als2cl,Ndufa6
1367,Gfm2,Ube2g1
1368,Trim12c,Dynlrb1
1369,Wdfy4,2410002F23Rik
1370,Fchsd2,Polr3k
1371,Ctla2b,Napa
1372,Zkscan3,Med28
1373,Itgb5,Smarcd3
1374,Zfp790,Kctd20
1375,Gcnt1,2010011I20Rik
1376,Gm2382,Ola1
1377,Dock9,Paics
1378,Vps13d,Tbc1d7
1379,Cyld,Ift27
1380,Atp13a3,Pmf1
1381,Lpin1,Mrpl45
1382,Sgce,Upf3a
1383,Phf17,Itpa
1384,Oxr1,Thap4
1385,Gspt1,Ccdc43
1386,Tcn2,Tmem88
1387,Naip2,C030044B11Rik
1388,Pnp2,Prmt6
1389,Snx10,Snhg6
1390,Ikbkg,BC029722
1391,Hmox2,4932415G12Rik
1392,Ate1,2210015D19Rik
1393,Nfatc2,2610035D17Rik
1394,Chdh,A030009H04Rik
1395,Ptger4,0610012G03Rik
1396,Numb,1810058I24Rik
1397,Fam116a,5930416I19Rik
1398,Apobec1,Deaf1
1399,Gpr160,Gm9786
1400,Nucb2,Gm7367
1401,Dnaja3,Gm15772
1402,Lpgat1,Snhg1
1403,2810006K23Rik,Gm10052
1404,AI987944,Gm5643
1405,Mat2b,9530082P21Rik
1406,Zfp839,9430008C03Rik
1407,4931406C07Rik,1500004A13Rik
1408,Gopc,4933431E20Rik
1409,Lgals8,E130317F20Rik
1410,Golga5,Wdr73
1411,Epb4.1l2,1110038B12Rik
1412,Snx5,2810025M15Rik
1413,Ghitm,Myeov2
1414,Slc44a2,Gm12191
1415,Macf1,2010320M18Rik
1416,Gm4944,Prr3
1417,Clec4a3,2210013O21Rik
1418,Rapgef4,Yars2
1419,Sykb,Gmeb2
1420,Itsn2,Ppp2r5b
1421,Kat2b,Tmem63b
1422,Dnajb11,Nsfl1c
1423,Lims1,Nup188
1424,Gpr155,6330578E17Rik
1425,Gne,4930422G04Rik
1426,Magt1,Arl16
1427,Camta2,2310044H10Rik
1428,Gm7694,1700025G04Rik
1429,5430411K18Rik,Trim37
1430,App,Cep78
1431,Pag1,Bst2
1432,Nuak2,Alkbh6
1433,Gm10345,Iqcc
1434,Gm4980,Hn1l
1435,Birc3,Nlgn2
1436,Atf1,Tsen2
1437,Zfhx3,Bend3
1438,Arhgdib,Mtss1l
1439,Rhob,Mex3d
1440,Amd2,Ap2s1
1441,Adam10,Rsl24d1
1442,Aldh3a2,Aars2
1443,Abcd1,Gse1
1444,Adrb2,Hjurp
1445,Adrb1,Tbc1d22b
1446,Atf3,Cox19
1447,Acp2,E030010A14Rik
1448,Btg2,BC003965
1449,C1qc,Tet3
1450,C1qa,1110021L09Rik
1451,Btg1,Tspan18
1452,Zfp36l1,Mpv17l2
1453,Bmpr2,Raver2
1454,Casp4,Ttll12
1455,Capza2,Prkab2
1456,Calr,Spred3
1457,Capn3,Igf2bp2
1458,Cap1,Prosapip1
1459,Atp1b3,Gadd45gip1
1460,Aup1,Pbx1
1461,Bid,Sgsm2
1462,Bcl2a1b,Stk35
1463,9830147E19Rik,Fat4
1464,Fam105a,Opa3
1465,4933426M11Rik,Wrb
1466,Jmjd1c,Plcxd1
1467,Slc4a10,Zfp532
1468,Tyk2,Wtip
1469,Arhgap27,Gtf3c1
1470,Stat1,Ptpdc1
1471,Mavs,Cnot6
1472,Atg16l1,Psmf1
1473,Arap3,Gas5
1474,Lcp1,Kif1b
1475,Eef2k,Lrrc47
1476,Zfp192,Zhx2
1477,Ly6c1,Rrp12
1478,Arntl,Dot1l
1479,2010315B03Rik,Tmem106c
1480,C87436,Lyrm4
1481,Itch,Tssc1
1482,Zfp764,Bckdhb
1483,Fam45a,Lrrc68
1484,Tcirg1,Clec4a1
1485,Ccdc132,Wdtc1
1486,Ctage5,Mtg1
1487,2310046K01Rik,Sema6d
1488,Coro2a,Pigs
1489,BC030336,Jtb
1490,Irf2bp2,Ugt1a6b
1491,Rffl,Ugt1a9
1492,Cyfip1,Ugt1a5
1493,Pdcd6ip,Ugt1a7c
1494,Zfp229,Ugt1a10
1495,Dnaja1,Rwdd4a
1496,9830001H06Rik,Mir5121
1497,Zfp809,Mir5114
1498,Tnfaip3,Raver1-fdx1l
1499,Pls3,6430706D22Rik
1500,1-Mar,2810013P06Rik
1501,Fkbp2,Snhg5
1502,8430408G22Rik,Mipep
1503,Sfmbt1,Atf5
1504,Dennd1b,Bmp1
1505,3110052M02Rik,1110002L01Rik
1506,Rasgrp3,2210403K04Rik
1507,2310046O06Rik,Mir546
1508,Spopl,Mir703
1509,Phc3,Alg13
1510,Mgll,Srsf3
1511,Gm14420,E130307A14Rik
1512,Ubr2,1600020E01Rik
1513,Tfpi,Atp6v0c-ps2
1514,Rasgrp4,Gm12669
1515,Cpeb2,Zfp414
1516,Usp35,Dnajb13
1517,1110001A16Rik,Insig1
1518,Gm13476,Lrrc41
1519,Asph,Bcl2l13
1520,Tirap,BC029214
1521,Frmd4a,E430025E21Rik
1522,Snap23,Lrrc20
1523,Rreb1,C85492
1524,Clcc1,Phldb1
1525,Irak1,Wdr19
1526,Phka2,Rtn1
1527,Ccdc162,Grwd1
1528,Tnfaip8,Aaas
1529,Pfkfb3,Rbm45
1530,Homez,Fam40a
1531,Sirpa,Rps15a
1532,Tifab,Mettl11a
1533,Tmcc3,Edc3
1534,Lonp2,Peo1
1535,Ctps2,Fam134a
1536,Sgms1,Entpd6
1537,Krit1,Pddc1
1538,Mef2c,Rpl32
1539,B3gnt2,Elof1
1540,Clec4a2,U2af1l4
1541,Mapk14,Spata2
1542,Arhgap39,Flywch1
1543,Trmt2b,Nars2
1544,Cdk19,Cnot10
1545,Phf14,Gpm6a
1546,Rbm41,Katnal1
1547,Hck,Noc4l
1548,Dhrs7b,Yrdc
1549,Taz,Pygb
1550,Rnf144b,Ctu2
1551,Trim36,Ipo9
1552,Rcbtb2,Rnf26
1553,Elmod2,Zcchc17
1554,Tmbim6,Gtf3c5
1555,Ahcyl2,Commd3
1556,Pnrc1,Vwa1
1557,Phactr2,Tagap1
1558,Zfp583,Slc1a3
1559,Hk3,Plk2
1560,Cln5,Tor2a
1561,Xylb,9530068E07Rik
1562,Dnajc25,Nat10
1563,Zfp597,2410015M20Rik
1564,Fbxo33,Acat3
1565,Dnajb14,Slc35e4
1566,Znfx1,Irgq
1567,Nlrc5,Klhl12
1568,Jrkl,Nomo1
1569,Zfc3h1,Sf3b4
1570,Ttc38,Egfl8
1571,Abcc4,Kdm5b
1572,Bank1,Rbm17
1573,Gxylt1,Ttc27
1574,Spata13,Mapre2
1575,Slc4a7,Ndufs2
1576,BC013712,Thtpa
1577,Zfp217,Dnajc27
1578,Ddx31,Ehbp1
1579,Ecscr,Ddx27
1580,Tapbp,Crocc
1581,Pja2,Gba2
1582,Ccdc141,D930015E06Rik
1583,Camk2d,Acad9
1584,Cyb5d2,Frmd5
1585,Zfp62,Lrp4
1586,Cebpz,Gtdc1
1587,Ccdc93,B230312A22Rik
1588,LOC547349,Pcgf3
1589,Efcab4a,Ppp1cb
1590,2700007P21Rik,Phf13
1591,Ikzf1,Dnajc11
1592,Smg1,Oscp1
1593,Trim26,Prpf38a
1594,Ccdc50,D2Wsu81e
1595,Pik3cd,C330027C09Rik
1596,Otud7b,Tomm22
1597,Specc1,Rab2b
1598,Zmynd15,Wdhd1
1599,Gm608,Txndc16
1600,Nacc2,Tmem44
1601,Nrbf2,Zfp523
1602,Zfp748,Stradb
1603,St3gal5,Adamts10
1604,Golm1,Kctd3
1605,Xaf1,Vps52
1606,Arhgap25,Chfr
1607,Adcy7,Ankrd52
1608,Adam15,Fbxw8
1609,Slc41a3,Kctd13
1610,Fam134b,Hirip3
1611,Clec5a,Grlf1
1612,Gnpda2,Zfp954
1613,Deptor,Zc3hc1
1614,Gngt2,Dera
1615,Zfp953,E130309D02Rik
1616,Ets1,Adap1
1617,Cnot2,Fbxl19
1618,Sgk3,Slc9a6
1619,Atp11c,Plxnb1
1620,Card9,Atrip
1621,Prps1l3,Sc5d
1622,Csf1r,Sugp2
1623,BC096441,Serinc5
1624,Lrch1,Dnajc8
1625,Tmed8,9130011J15Rik
1626,Tmem104,Slc16a13
1627,D630037F22Rik,Tarsl2
1628,Itpripl2,Ube2z
1629,A230046K03Rik,Gpc2
1630,Gm694,Nup93
1631,Jhdm1d,Sidt2
1632,Gal3st4,Ift52
1633,I830077J02Rik,B9d2
1634,Ube3a,Kdm4b
1635,Layn,Slc36a4
1636,Kcnk6,Fuk
1637,Evi2a,Rnf40
1638,Mef2a,Mark4
1639,Acsl6,Snx8
1640,Mtus1,Eif2b5
1641,Tceanc,Tmem120a
1642,Rsrc2,Vezt
1643,Hps5,Zfp609
1644,Wapal,Aldh5a1
1645,Pik3r6,Gnptg
1646,Iqsec2,Slc18a2
1647,Arhgap30,Abhd10
1648,Zcwpw1,Coq6
1649,Dock11,Fbf1
1650,Txnip,Tada2a
1651,Asap3,Cntrob
1652,Unc13d,Thoc5
1653,Zfp658,Zc3hav1l
1654,Whrn,Bzrap1
1655,Il4ra,Tbc1d16
1656,Nuak1,Shroom2
1657,2610008E11Rik,Dennd2a
1658,H2-K1,A730008H23Rik
1659,Zfp36l2,Zswim4
1660,Eea1,Dcaf15
1661,Tmem204,Ncoa7
1662,Zfp738,Slc38a5
1663,Ccdc111,Glt25d1
1664,Taf9b,Zfp553
1665,Atp8b1,Wdr62
1666,Zscan22,Klc3
1667,Nlrp1a,Zfp282
1668,Zfp619,Cdk17
1669,Senp7,Mmgt1
1670,Pid1,Ncapd2
1671,Cltc,Fam129b
1672,Zfp187,Tubb4b
1673,Aim2,Actr1b
1674,Lipo1,Lyplal1
1675,Sp140,Aph1a
1676,Maml2,Cbwd1
1677,Zfp182,Ubxn1
1678,Zfp930,Haus1
1679,Lman2l,Csnk1a1
1680,Dtx3l,Sord
1681,Prkaa1,Paip2b
1682,D9Ertd402e,Vopp1
1683,Dcun1d2,Ppp1r8
1684,Nufip2,Pcif1
1685,Inpp4b,Dlgap4
1686,Rap1gap2,Cchcr1
1687,Snx13,Zfp385c
1688,Sp3,Klhl23
1689,Kbtbd7,Eme1
1690,Osm,Impad1
1691,1500010J02Rik,Lsm14b
1692,Slc2a9,Agap1
1693,Ecm2,1110012D08Rik
1694,Ccdc55,Thra
1695,Slc39a12,Mterfd2
1696,Tgfbrap1,Vps37b
1697,Gpr146,Tmem67
1698,Trim21,Vps26b
1699,Itgam,C030046I01Rik
1700,Gbp7,Dna2
1701,Etv3,Sh3pxd2b
1702,9430020K01Rik,Vash1
1703,Zfp800,Micall1
1704,Tns3,Hnrnpl
1705,Ppp1r3d,Tmem154
1706,Smcr8,Mapkap1
1707,Zbtb34,Tsr1
1708,Gm13251,Zfp653
1709,Zfp467,D030056L22Rik
1710,Hiatl1,Ldoc1l
1711,Liph,Isg20l2
1712,1600014C10Rik,H2afj
1713,Ubr3,Zfp637
1714,Tbc1d8b,D19Bwg1357e
1715,Pik3r4,Acaa2
1716,Nol8,Thnsl1
1717,Rhobtb1,Cdc34
1718,Stxbp5,Mtmr9
1719,Sipa1l2,Ulk4
1720,Taok3,Hic2
1721,Mfhas1,Wdr92
1722,Tbc1d4,Pdrg1
1723,Rsf1,Atad3a
1724,Ccdc142,Lphn1
1725,Atf6,Trappc9
1726,Rprd2,Slc7a6
1727,Ccdc88b,B3gnt9-ps
1728,9030418K01Rik,Slc25a15
1729,Bod1l,Aida
1730,Ankrd44,Shq1
1731,Zxdb,Ckap2l
1732,Ppp2r5c,Pik3r3
1733,Dmxl1,Hcfc1r1
1734,Tbccd1,4930534B04Rik
1735,Mll3,Atrnl1
1736,Wdr67,Gtf2h3
1737,Csmd3,Parp11
1738,Cnnm2,Wdr47
1739,Arfgef1,Rftn1
1740,Steap2,Gtf2h5
1741,Acbd5,Supv3l1
1742,Med7,Gm15800
1743,AW209491,Hist2h2be
1744,Tmem176a,Cpsf4
1745,Ogfod1,Zfp334
1746,2410002O22Rik,Wipi2
1747,BC032203,Cdc42se2
1748,Msl2,1810026J23Rik
1749,Myof,Psmd11
1750,Srp54c,Samm50
1751,Mfsd7b,Nop16
1752,Smad7,Mrpl50
1753,Cd74,Tagln2
1754,Ccdc135,Atl1
1755,Clpx,Zfp827
1756,Zfx,Smg5
1757,Rad17,Hist3h2a
1758,Fmn1,Cdc23
1759,Rap1gds1,Dhx38
1760,Hsd3b7,Cox10
1761,Filip1l,Commd10
1762,2810407C02Rik,Rraga
1763,Hvcn1,Poldip3
1764,Nlrp1b,Dpy19l3
1765,Zhx1,Zer1
1766,Git2,Irf2bp1
1767,BC003331,Ss18l1
1768,Abi1,Slc26a11
1769,Fcgr2b,Klhl8
1770,Usp33,Ank2
1771,Synj1,Sccpdh
1772,Clint1,Blmh
1773,Akna,Oaf
1774,Fkbp15,Inpp5f
1775,Morc3,Ints7
1776,Net1,Atg4b
1777,Zfp868,Rcc2
1778,Zzef1,Gpt2
1779,Bicd2,Atp5g3
1780,Gmfg,Eny2
1781,Cep350,Mrps27
1782,Wdr37,Ube2o
1783,Zfp951,1110067D22Rik
1784,Tctn1,Ilvbl
1785,Mier1,Nudcd3
1786,Pkib,2610019F03Rik
1787,Kctd21,Wdr24
1788,Atp8a1,8430410A17Rik
1789,Sel1l,2310044G17Rik
1790,Scoc,Npr2
1791,Zkscan4,Ubtd2
1792,Arap1,Stk36
1793,Arhgap12,Pogk
1794,Iffo1,Sash1
1795,Coq10b,Galk2
1796,Zfp869,Hsdl1
1797,Edem3,Swi5
1798,Dnm2,Ralgps1
1799,Plekhm3,Hspa12a
1800,4933421E11Rik,3110056O03Rik
1801,Tmco1,2310022B05Rik
1802,Parp14,2310022A10Rik
1803,Gba,Fam53c
1804,Kif16b,Commd2
1805,Upf2,Rps19bp1
1806,Mtr,Vars2
1807,Cep63,Rnf122
1808,4921513D23Rik,Ankrd46
1809,Chsy1,Lrrc28
1810,Myst3,1110051M20Rik
1811,Tigd2,Trak1
1812,Arfip1,Rae1
1813,Taf4a,Amdhd2
1814,Cep152,Cops7b
1815,Esf1,Idh2
1816,Phf3,Frem2
1817,Ogfrl1,Rgs12
1818,Ipo8,Nhsl1
1819,Tmf1,Fbxo45
1820,Rhoh,Nav1
1821,Tsc22d2,Vat1l
1822,Fam178a,Limk2
1823,Esco1,Rbmx2
1824,Pigg,Fam164a
1825,Ddx60,Pmpca
1826,Kdm3b,Fam100b
1827,Lrch3,Ints5
1828,Tln2,Ccdc88a
1829,Ptafr,Topbp1
1830,Kif13b,Fbxl7
1831,Dpy19l4,Hif1an
1832,Arid4a,Brwd1
1833,Lemd3,Wdr59
1834,Cdc14a,Txnl4b
1835,Fat3,Zfp608
1836,Cass4,Fchsd1
1837,Ncoa2,Cenpt
1838,Pik3r1,Iqcb1
1839,Fmnl1,Ocrl
1840,Stag2,Flad1
1841,Syne1,9630033F20Rik
1842,Nav3,Mex3b
1843,4930420K17Rik,Lyrm2
1844,Ltn1,Obfc1
1845,Ccdc90a,Unc119b
1846,Cdk13,Rbm15b
1847,Qrsl1,Fbxw17
1848,Zfp429,Sephs1
1849,Rlf,Exosc4
1850,Srgap2,6530418L21Rik
