,Upregulated,Downregulated
217,Med17,Npl
218,Frmd4b,Pi4k2b
219,Mgl2,Ttc21a
220,Tifa,Pex26
221,Lpcat3,Rap2b
222,Pet112l,1700066M21Rik
223,Zdhhc5,Rasip1
224,Daglb,Thoc3
225,Mepce,Cby1
226,6330416G13Rik,Haus7
227,Rod1,Fam125a
228,Slc35a3,Glipr1
229,Arhgap4,Bloc1s2
230,D6Wsu163e,Wbscr16
231,Zcchc7,Prcc
232,Fam3c,Pcdhgb1
233,Hps4,Aarsd1
234,Ufsp2,Wrap53
235,Tab2,Cbara1
236,Cds2,Pcdhgb2
237,Bmf,Zfp410
238,Trpm2,Ankrd54
239,Dst,Nrbp2
240,Rgs3,Ube2e2
241,Havcr2,Hnrpll
242,Fgd4,Mtss1
243,Gbgt1,Snap47
244,Fktn,Metrnl
245,Mylk,Slc25a38
246,Mcfd2,Acat1
247,Carf,Dus3l
248,Edem1,Hip1r
249,Tmlhe,Ppil2
250,Sdpr,Ugt1a6a
251,Ash1l,Gtpbp6
252,Tnip2,Aif1l
253,Vps54,Chst10
254,Ripk2,Eif3l
255,Wdr81,Pex16
256,Nlrp3,Msto1
257,Pitpnc1,Ncoa5
258,Zfp958,Exosc2
259,Tmem159,BC005624
260,Zfp810,Mettl13
261,Zfp709,Ndufs8
262,Zfp71-rs1,Apoa1bp
263,Parp3,Blvrb
264,Narg2,Elmod3
265,Pttg1ip,Tmem150a
266,Evi2b,Commd1
267,Flcn,Ppp1r3f
268,Arhgap9,Praf2
269,Cep290,D10Jhu81e
270,Mgat2,D11Wsu99e
271,Lrrc33,Atp5o
272,Cpped1,Med10
273,Sumf1,Usp39
274,Zc3h7a,Ubfd1
275,AW549877,Eif4a3
276,Tspan14,Socs7
277,Kbtbd2,Mvd
278,D15Ertd621e,Spg21
279,Cdc73,Med9
280,Siglec5,1700088E04Rik
281,Slc10a3,Mical1
282,Ube4a,Tymp
283,Casd1,Fdps
284,Mbip,Il17rd
285,Ubxn2a,Slc26a6
286,Cd300ld,Elovl5
287,Arrb2,Galnt2
288,Mfap3,Nol6
289,Ythdf2,Defb11
290,Tapbpl,Cytip
291,Appl2,Plac8
292,Lactb2,Agap3
293,Lpcat1,Cdc26
294,Tm6sf1,Fus
295,9030617O03Rik,Arl6ip4
296,Rap1a,Stard7
297,Edem2,Vasn
