Gene,F_P60_LPS 1,F_P60_LPS 2,F_P60_LPS 4,F_P60_LPS 5,F_P60_LPS 6,F_P60_Sal 1,F_P60_Sal 2,F_P60_Sal 3,F_P60_Sal 4,F_P60_Sal 5,F_P60_Sal 7,F_P60_LPS 3,F_P60_Sal 6
Cope,34,23,74,50,92,151,62,105,31,26,41,53,57
Wsb2,51,30,51,89,69,131,61,151,34,54,38,41,41
Rnf130,323,131,251,346,307,820,277,640,284,282,230,199,209
Cryba2,0,0,0,0,0,0,0,0,0,0,0,0,0
Kcnk5,0,0,3,1,5,2,0,2,1,2,1,1,0
Scn5a,0,0,0,0,0,0,0,0,1,0,0,0,0
Naip7,82,32,52,78,89,350,46,221,62,80,59,86,25
Necab3,0,1,1,0,0,1,1,0,0,0,0,0,0
Stard3,100,64,119,140,159,353,136,328,104,150,99,86,83
Pnkp,11,10,29,31,31,75,30,66,19,16,20,21,20
C1galt1c1,53,130,56,94,64,168,70,132,42,38,68,34,111
Slc22a17,195,345,633,460,351,802,384,758,108,20,360,293,164
Nsa2,20,33,24,33,38,99,27,83,24,32,36,13,29
Mettl9,47,72,52,54,55,179,68,146,42,38,72,35,68
Fam203a,7,3,12,11,1,23,9,15,7,2,5,2,3
Mrps30,29,11,14,13,23,50,16,27,20,14,15,8,6
Rdh11,23,21,20,17,20,58,39,68,30,33,25,24,49
Zfp191,114,66,54,123,107,259,86,260,72,81,107,69,75
Bhlhe22,0,0,2,0,3,3,0,2,0,0,1,0,0
Tas2r140,0,0,0,0,0,0,0,0,0,0,0,0,0
Midn,187,61,158,248,391,356,112,283,59,88,61,150,16
Pcbp4,3,0,10,14,11,34,7,20,5,0,5,3,9
Pcbp3,17,23,30,31,28,60,26,58,7,0,50,32,10
Chrnd,0,0,0,0,0,0,0,0,0,0,0,0,0
Agrn,53,17,62,54,107,114,42,146,51,36,105,90,4
Nek7,291,182,148,264,254,740,164,509,206,192,257,182,204
Ncstn,177,88,170,118,128,434,178,412,152,144,192,173,67
Dctn5,124,91,94,103,158,399,118,290,108,112,153,91,157
Ccbp2,0,0,0,0,0,0,0,0,0,0,0,2,0
Gpa33,0,0,0,0,0,0,0,0,0,0,0,0,1
Ap4s1,28,14,9,16,21,47,24,46,10,20,21,8,17
Slc18a3,0,0,0,0,0,0,0,0,0,0,0,0,0
Myg1,18,16,17,14,19,39,24,44,12,8,21,21,32
Wbp11,85,30,48,102,77,212,74,158,66,53,69,75,16
Chst7,34,18,31,26,33,50,30,50,19,23,18,22,9
Ms4a4b,5,10,3,3,10,6,2,2,2,0,5,4,1
Cldn15,0,0,2,0,0,0,1,0,0,0,0,1,0
Donson,31,15,26,21,42,110,34,63,16,25,15,26,19
Sap30,38,9,37,35,27,106,37,64,20,38,23,39,15
Trappc4,40,25,26,54,41,93,27,76,25,32,36,29,54
Cenpk,3,0,1,2,0,4,0,0,0,0,0,0,0
Doc2g,0,0,0,1,5,4,5,2,0,0,1,1,0
Eed,93,61,65,52,125,212,45,147,48,86,59,97,46
Oca2,19,64,12,39,24,59,21,45,14,0,36,15,45
Prkar1a,450,300,359,590,521,1242,374,1038,354,405,492,320,381
Qk,1034,366,368,630,576,2861,759,2190,903,898,923,645,293
Pmel,5,2,4,1,4,12,3,5,2,2,4,5,0
Tmod1,48,20,42,52,55,68,31,80,30,32,30,29,13
Tsg101,63,36,26,68,89,151,59,131,47,50,54,39,49
Cenph,0,0,0,0,1,2,0,0,1,1,0,0,1
Il21r,122,45,123,167,190,492,159,457,136,200,133,120,82
Qtrt1,7,3,20,12,13,31,6,27,3,7,5,15,15
Syt9,13,9,11,19,18,44,15,34,1,0,16,13,14
Fads3,45,61,79,55,75,133,44,102,24,6,57,42,45
Npvf,0,0,0,0,0,0,0,0,0,0,0,0,0
Cd274,215,115,75,160,399,108,27,49,27,30,25,32,12
Actn4,146,106,237,218,306,462,219,446,142,115,240,202,46
Gucy1a3,4,4,7,10,9,13,3,33,6,0,22,16,4
Tsga8,0,0,0,0,0,0,0,0,0,0,0,0,0
Foxj2,104,18,51,65,112,296,101,233,61,72,72,66,4
Tlx1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mapk8ip2,0,1,0,1,0,8,0,1,0,0,1,0,1
Fxyd6,1,2,2,1,1,6,1,10,3,2,5,0,5
Fxyd7,0,0,0,0,0,1,0,0,0,0,0,0,0
Flii,115,61,145,159,205,410,119,365,124,112,127,146,26
Gtf2h2,194,107,89,219,196,757,213,557,196,255,226,186,220
Map3k11,37,13,86,56,91,151,54,132,42,50,34,52,7
Taf8,22,11,25,23,33,94,22,67,20,23,35,19,18
Impg1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trpv4,49,48,133,102,132,132,84,177,30,6,73,102,32
Fam129a,65,37,47,53,60,128,38,143,46,45,49,59,10
Dusp10,8,10,13,19,23,35,11,20,10,7,6,3,5
Rbp7,0,0,0,0,0,0,0,3,0,0,1,0,0
Ube4b,79,42,58,74,68,227,89,201,57,80,98,85,19
Gmfb,182,159,98,169,182,464,128,395,123,112,221,123,175
Slc5a7,0,0,0,0,0,0,0,3,0,0,0,0,0
Aqp9,0,0,0,0,2,0,0,0,0,0,0,1,0
Sav1,122,74,77,114,161,145,39,128,34,26,53,72,37
Nrgn,2,0,5,1,1,0,1,0,0,1,0,1,0
Sv2a,10,13,21,14,22,56,20,56,17,8,22,20,9
Hapln2,0,0,0,0,0,1,0,2,0,0,0,3,0
Perp,39,101,43,71,57,123,31,100,25,7,75,34,59
Oxct2a,0,0,0,0,0,0,0,0,0,0,0,0,0
B4galt1,1093,250,533,650,711,879,256,780,298,333,295,385,69
Tcte2,0,0,0,0,0,1,0,0,0,0,0,0,0
