Gene,M_P60_LPS 2,M_P60_LPS 7,M_P60_Sal 5,M_P60_LPS 1,M_P60_LPS 3,M_P60_LPS 4,M_P60_LPS 5,M_P60_LPS 6,M_P60_Sal 1,M_P60_Sal 2,M_P60_Sal 3,M_P60_Sal 4
Klk1b22,0,0,0,0,0,0,0,0,0,0,0,0
Egfbp2,0,0,0,0,0,0,0,0,0,0,0,0
Klk1b9,0,0,0,0,0,0,0,0,0,0,0,0
Rhbdf1,5,26,24,5,6,9,20,15,27,73,21,26
Egr2,175,328,361,156,134,186,205,265,349,720,188,265
Ehd1,23,128,61,40,112,245,250,88,76,71,80,71
Eif1a,199,269,180,145,224,256,199,179,258,197,143,165
Eif2ak3,40,67,148,49,40,20,35,71,130,218,112,94
Eif3a,350,507,805,300,401,407,339,544,950,1051,615,650
Eif4ebp2,25,43,104,34,19,20,16,54,81,119,75,69
Pou6f1,27,37,54,21,13,15,31,39,46,89,53,49
Emp1,57,96,65,58,53,69,78,41,115,106,35,79
Emr1,459,538,1347,368,358,300,235,603,737,1537,704,907
Emx1,0,0,1,0,0,0,1,0,0,0,1,0
Emx2,0,0,2,2,0,0,1,1,6,1,3,5
En1,0,0,0,0,0,0,0,1,0,0,0,0
En2,0,0,0,0,0,0,0,0,0,0,0,0
Epas1,91,182,1133,197,115,272,250,187,816,1243,819,1057
Epha2,78,231,206,72,41,57,107,257,232,654,132,176
Epha3,0,1,3,1,0,2,0,1,0,2,2,3
Epha7,0,3,7,3,2,2,1,6,11,6,2,9
Ephb2,1,0,0,0,2,1,0,0,0,3,1,0
Ephb3,5,21,17,7,1,6,3,13,37,77,20,21
Ephx1,27,74,299,92,43,99,87,87,364,226,494,387
Epn1,63,137,217,62,40,61,113,150,174,523,178,213
Epn2,23,41,168,28,25,51,37,61,137,169,136,171
Epor,0,0,4,0,1,0,1,0,4,8,3,3
Nr2f6,6,6,29,0,3,6,6,6,34,32,39,22
Nr2f1,3,0,6,0,0,0,3,2,9,3,7,1
Erbb3,0,0,0,0,0,0,1,0,6,1,2,3
Erbb4,5,5,20,5,7,3,9,9,44,11,54,28
Erf,36,156,205,44,23,45,73,120,211,649,134,174
Samd9l,111,173,87,122,265,252,171,139,73,49,49,96
