sampleID,sex,tx
M_P60_LPS 2,Male,LPS
M_P60_LPS 7,Male,LPS
M_P60_Sal 5,Male,Sal
M_P60_LPS 1,Male,LPS
M_P60_LPS 3,Male,LPS
M_P60_LPS 4,Male,LPS
M_P60_LPS 5,Male,LPS
M_P60_LPS 6,Male,LPS
M_P60_Sal 1,Male,Sal
M_P60_Sal 2,Male,Sal
M_P60_Sal 3,Male,Sal
M_P60_Sal 4,Male,Sal
